debate,time,text,date,mp
Paris Agreement on climate change,,"The figure that has been given is 800,000 homes—that is just one project and it could be repeated elsewhere. That number of homes heated is the size of a substantial town, so it is very worth while.",2016-09-07 00:00:00,Nia Griffith
Paris Agreement on climate change,,"I was referring to exporting the idea. In the past—with wind turbines, for example—we have lost the initiative in manufacturing and find ourselves   importing. We do not want to do that. We want to be world leaders—we want to make the components, export them and build potential markets for our industries for the future.",2016-09-07 00:00:00,Nia Griffith
Paris Agreement on climate change,,"That sounds like a very exciting project indeed. The whole point is not to think about the cost of an initial project, but the huge impact of rolling it out: reducing emissions, finding good markets for our components industries and ensuring we are up there as a world-first. There would be huge kudos for the Government if they did that.",2016-09-07 00:00:00,Nia Griffith
Paris Agreement on climate change,,"Absolutely—indeed it would. Sadly, the Government’s record has not been very good to date. The green deal was a complete fiasco. It proved to be a very unattractive deal, as the figures show, with only 2.7% of those who had had the assessment done actually taking out the investment in energy-efficiency measures. Indeed, many of us have had constituents who have experienced real difficulties with the scheme. It is no wonder that the National Audit Office was scathing in its assessment, pointing out what poor value for money the scheme was. In spite of warnings from the Labour Benches about the scheme’s faults, the Government did not do anything to improve it. The sudden ending of the scheme in itself produced problems. One constituent of mine, who was in receipt of pension credit, paid for an up-front survey. She then found she had difficulty getting a copy of that survey. After I chased it up, we got the copy but found that it was too late and the scheme was no longer up and running. She lost her money on that survey. That is an appalling situation in which to leave a pensioner in receipt of pension credit. There is an awful lot more to do on very simple matters, such as recycling. We should be trying to ensure as many products as possible are either completely recyclable, such as steel, or biodegradable. For example, will the Government consider banning polystyrene takeaway trays, as some local authorities are already seeking to do, and asking catering businesses to use alternative, biodegradable ones? I very much welcome the inclusion in the Department’s title the words “industrial strategy”. I very much hope the Government are really serious about developing consistent long-term policies for both manufacturing and energy. Business leaders are crying out for clarity and consistency. The Government are continually moving the goalposts, which completely reduces business confidence. We saw that in the massive job losses in the solar industry when the feed-in tariff regime was changed at short notice. To get businesses to invest in energy projects   and measures to help us reduce our emissions and tackle climate change, we need long-term certainty from the Government. As we no longer intend to remain in the EU, companies need to know exactly what the Government are going to offer them. Sadly, Ford in Bridgend has slashed its investment plans from £181 million down to £100 million, and instead of creating 700 jobs it will be creating only 500 jobs. That is really, really worrying. The Government urgently need to provide the certainty and reassurance that the UK will be a good place to invest in and that we have the right sort of policies that both favour industrial development and reduce emissions. We need to ensure we are seen as a place in which to invest. More than anything else, I urge the Government to get on with the carbon plan. It is very important that the carbon plan is a major part of their strategy, that the “industrial strategy” part of the title of the Department becomes a reality, and that we give the certainty that investors need for the future of our country.",2016-09-07 00:00:00,Nia Griffith
Draft National Minimum Wage (Amendment) (No. 2) Regulations 2016,2017-05-01 12:01:00,"I was pleased to hear the Minister speak of strengthening enforcement, which is essential both to protect workers and to stop unscrupulous employers undermining responsible ones, but she must   keep up the pressure to ensure that better enforcement becomes a reality. When the former Chancellor, the right hon. Member for Tatton (Mr Osborne), announced the so-called living wage of £7.20 an hour, which I consider to be simply a new minimum wage, I was disappointed to note that it would apply only to the over-25s and not to those aged 21 and over, as the national minimum wage did. By the time that young people are 21, they may have finished their higher education course, or they may have been in work for a couple of years. They may be married and they may have children. They should be receiving the same as those aged 25 and over. I point out to the hon. Member for Lichfield that when Labour introduced the national minimum wage in 1999, the full rate applied to those aged 22 and over, not 25 and over as he indicated. Twenty-two was reduced to 21 some 10 years later.",2016-09-08 00:00:00,Nia Griffith
Draft National Minimum Wage (Amendment) (No. 2) Regulations 2016,,"The national minimum wage was introduced for 22-year-olds and over, not for 25-year-olds and over, in 1999. That is the important point.",2016-09-08 00:00:00,Nia Griffith
Draft National Minimum Wage (Amendment) (No. 2) Regulations 2016,,"Ten years later, it was reduced from  22 to 21. If there is a valid argument that there is a higher unemployment rate among 21 to 25-year-olds and that depressing the wages of this group compared with the wages of those aged over 25 will make employers more likely to employ them, it is very exploitative and very unfair, both because it discriminates against younger adults by setting a lower rate of pay, and because it could prejudice the chances of over-25s getting work, as they may be seen as more expensive. We should instead address the underlying reasons for it being more difficult for this group to get work. We know that there have been far fewer openings in recent years, with confidence still low in the private sector, with the recovery patchy across the country, and with swingeing cuts in the public sector, which means there is little expansion in many areas. Retiring workers are often not replaced, or are replaced only by casual workers on zero-hours contracts or other such arrangements. Moreover, there is an argument that raising the minimum wage would save the public purse by lowering the tax credit bill; that argument applies equally to those under 25. When Labour introduced the minimum wage, in the face of fierce opposition from the Conservatives, we had to proceed cautiously. The hope was that, once introduced, rates could be gradually improved. I have consistently argued for less of a differential for 18 to 20-year-olds and for 16 to 18-year-olds, with higher annual percentage increases for these groups. When the new over-25s rate was set at £7.20, it was an increase on the existing national minimum wage of some 7.5%, whereas the proposed new rate for 21 to 24-year-olds is an increase of only 3.7%. If the Government   are not minded to give the full £7.20 to that age group, they could at least use this opportunity to raise the rate by more than 3.7%. Likewise, looking at the 4.7% increase for the 18 to 20-year-olds, from £5.30 to £5.55, and the 3.4% increase for 16 to 17-year-olds, from £3.87 to £4, the gap is now widening, not narrowing, between the three groups of younger workers and the over-25s. I want a concerted effort to increase the 18 to 20-year-old rate by a greater percentage, to reduce the differential and bring the rate up to that for the 21 to 24-year-olds, and then to that for the over-25s, for the reasons I have already alluded to. Of course, many young people now work to fund their studies. I also want a greater percentage increase and a lesser differential for the 16 to 17-year-olds, and I feel that today’s legislation is a missed opportunity to begin on this path.",2016-09-08 00:00:00,Nia Griffith
Wales Bill,,"I shall speak to several amendments, in particular amendment 11, which provides that income tax powers may not be devolved to the Welsh Assembly until a fiscal framework has been approved by both Houses of Parliament and the Welsh Assembly. We have always said that a fiscal framework must ensure that Wales is not disadvantaged by taking on the devolution of some income tax powers. In the wake of the EU referendum result, it is all the more urgent that the Government develop a coherent and redistributory regional funding strategy not just for Wales, but for the whole of the UK. The EU uses specific criteria for designating the areas that should receive structural funds by comparing the income of an area with the EU average. Areas in Wales such as the valleys and west Wales have benefited because they have a GDP that is less than 75% of the EU average, as has Cornwall, and many other areas have benefited because their GDP is between 75% and 90% of the EU average, including south Yorkshire and Merseyside. It is, broadly speaking, a needs-based system. As Members across the House will remember, Holtham recommended that funding for Wales should be based on a needs-based formula. However, a sophisticated formula would take time to develop. It is simply unacceptable for Wales to accept the devolution of income tax without an order in both Houses and the consent of the Welsh Assembly, because those measures would give elected Members the chance to discuss the funding and the fiscal framework so that we do not see a cut to our funding and then get told to make up the rest by increasing income tax.",2016-07-05 00:00:00,Nia Griffith
Wales Bill,,"I very much agree with my hon. Friend. It is even more serious than that because many jobs depend on EU funding. People might find that they no longer have the apprenticeship opportunities, training opportunities and many other things that are supported by the EU but that are not quite as obvious as the concrete structures. It would be very difficult for the Welsh Government to make up a significant shortfall in the block grant. The block grant is some £15 billion per annum, whereas the total income tax raised in Wales amounts to some £4.9 billion. It would be very difficult to make up any percentage cut to that £15 billion, particularly if we wanted to protect the standard taxpayer. It is therefore vital that there is an opportunity for negotiation and for a vote and approval before any devolution of income tax. People might think that I am very suspicious of the Conservative party and that I do not trust it an inch. [Hon. Members: “No!”] Well, I just think that we have to look at the facts. Look at what it has done with councils in England. It has told them that if they want to increase social care funding, they can raise it through council tax hikes. If anyone thinks that the UK Government run by the Conservative party are committed to fair funding or needs-based formulas and are free from partisan bias, I remind them that between 2012 and 2020 the average cut in spending power per household in Labour council areas in England is more than five times higher than the average cut in Tory local authority areas.",2016-07-05 00:00:00,Nia Griffith
Wales Bill,,"My hon. Friend confirms my very worst fears. Instead of having needs-based funding, the average cut per household in a Tory area will be in the region £68 by the end of the Parliament, whereas in Labour council areas it will be more than £340. My fear is that the block grant will be cut and we will be told to make up the rest through income tax hikes in Wales. As Members are well aware, there has been no full assessment of the impact on Wales of different rates of tax on the different sides of a very porous border, so we really have no idea what will happen.",2016-07-05 00:00:00,Nia Griffith
Broadband in Wales,,"Does my hon. Friend agree that the highest form of flattery is imitation? If he can convince the Minister that it really was the Minister’s idea, it is far more likely to happen.",2016-07-06 00:00:00,Nia Griffith
Broadband in Wales,2017-05-01 15:06:00,"I listened very carefully to the remarks of the hon. Member for Ceredigion (Mr Williams) and of my hon. Friend the Member for Ynys Môn (Albert Owen) and will not repeat many of the excellent things they have said. I will concentrate on three aspects of the problem. First, I will talk about funding. Secondly, I will talk about the issues of Ofcom and, thirdly, I will talk about the electronic communications code. First, as was pointed out by the hon. Member for Ceredigion, £90 million of European regional development fund money goes towards the superfast broadband programme in Wales. That is out of £231 million, so it is a large proportion. There have already been delays in that programme and, were there to be any more delays, the worry is that that source of money could be cut off before the programme is finished. Can the Minister give us an absolute guarantee that that money will be there? Clearly, that is money from the ERDF and, according to the Brexiteers, as that money originally comes from the UK Government it should be used for the same items as it was designated for before Brexit. That is over and above any funding the Welsh Government get. We need a guarantee that that is going to be the case. Secondly, I refer to the issue of the opening up of what they call the BT dark fibre. Many of us have experienced the frustration of BT Openreach effectively being a monopoly, which has led to significant problems for some of our constituents. There seem to be enormous problems and delays in communicating with it and getting things done. I have spent many hours trying to chase things up on behalf of constituents when they are not able to get through. I am pleased that, in its strategic review, Ofcom has set out plans to reduce the UK’s reliance on Openreach by further opening up the network and that it has   confirmed its plans to require BT to provide access to its optical fibre network for providers of high-speed lines for businesses. BT will have to give physical access to those fibre optic cables and there will therefore be an opportunity for competitors to link in to those fibres and provide the services we want to see for our constituents—but hopefully providing a much better service. I hope that will in turn encourage BT to provide a better service as well. Will the Minister tell us how effective he expects Ofcom to be in forcing BT to do this? We have seen in the past that Ofcom sometimes has not moved as quickly as it might to chase up on things, and I would like a clear indication from the Minister as to when he expects all this to happen and what he expects BT to find coming its way if it does not comply with Ofcom’s requirements. So we really want a very firm Minister keeping a very strong watching brief on what happens there, so that we can be absolutely certain that the new opportunities for access are made available and that there is a better service provided to our constituents, many of whom have been waiting a very long time to see improvements to the facilities that they have. I should like to turn to the electronic communications code, about which I wrote to the Secretary of State for Culture, Media and Sport in November 2005. The code matters because in Wales mobile coverage is also important in helping to provide internet access, but unfortunately disputes between landowners and mobile operators can lead to significant disruption. Now that the Government are planning to introduce a Bill to reform the code, I should like to ask the Minister what exactly the timetable is for that Bill and how long it will take before its measures are implemented and people begin to see a difference. What guarantees can he give about the precise content of that Bill? In answer to a parliamentary question that I tabled, the Minister reiterated the Government’s intention that the reformed code should be clear, fit for purpose and promote choice for consumers. It is essential that the code covers wholesale infrastructure providers, which make up a significant proportion of mobile networks. The draft code published last year excluded such providers and was therefore not fit for purpose. The issue of retroactivity should also be considered as mobile operators have expressed concern that unless the code applies to leases that have already been signed, its effect will be limited. In conclusion, I want to reiterate what my hon. Friend the Member for Ynys Môn and the hon. Member for Ceredigion have said. Nowadays broadband is as essential, if not more essential, than roads, water and electricity. We expect it to be universally provided and we want everything to be done to speed up the roll-out of the Superfast Cymru programme.",2016-07-06 00:00:00,Nia Griffith
Topical Questions,,"I fully understand the 2009 cut-off date for Flood Re, of which developers and local authorities should have been fully aware, but what more can the Minister do to make it legally binding to inform purchasers that they will not be eligible for Flood Re? What about properties that are downhill of new developments that have subsequently become more at risk as a result of developments built since 2009?",2016-07-07 00:00:00,Nia Griffith
Apprenticeships,,"Wales also offers opportunities for apprenticeships in forestry and horticulture, but employers and colleges in Wales are very concerned about how the apprenticeship levy will work. What recent discussions has the Minister had with Julie James, the Welsh Government Minister, and when does he expect the scheme details to be finalised?",2016-06-28 00:00:00,Nia Griffith
UK Involvement in Rendition,,"I congratulate the right hon. Gentleman on securing the debate. While we may have every respect for the commitment by the right hon. and learned Member for Beaconsfield (Mr Grieve), the Chair of the ISC, that he will carry out an inquiry into rendition, does the right hon. Gentleman agree that reform and much greater transparency are needed on the way in which this House scrutinises MI6 activities in future so that this cannot happen again?",2016-06-29 00:00:00,Nia Griffith
Land Registry,2017-05-01 13:15:00,"A few weeks ago, I joined Public and Commercial Services Union members and representatives from the campaigning group 38 Degrees to hand over a petition with more than 200,000 signatures to the Department for Business, Innovation and Skills, calling on the Government to abandon plans to privatise the Land Registry, which has its main offices in Swansea, where many of my constituents work. Why on earth are we here again, just two years after the previous attempt at privatisation? It is not simply employees of the Land Registry and their PCS and First Division Association representatives who are very concerned about the privatisation. Back in 2014, we had a meeting in the House of Commons—it was organised by my hon. Friend the Member for Chesterfield (Toby Perkins), who then shadowed the BIS Minister with responsibility for the Land Registry—at which real concerns were expressed by representatives of the Law Society and the Council of Property Search Organisations. Jonathan Smithers, deputy vice-president of the Law Society, and James Sherwood-Rogers from   the Council of Property Search Organisations explained that, in their analysis, a privatised land registry would inevitably end up being a private monopoly that could impose rip-off fees and provide a worse service for its clients. We then discovered from leaked documents that the Government were determined to push ahead with privatisation plans and that the recent consultation had in fact been a sham. They had clearly not listened to respected independent bodies, such as the Law Society, never mind to their employees, who were represented by the First Division Association and the Public and Commercial Services Union. Two years later, it seems that the Government are determined to push through privatisation of the Land Registry, because the consultation is focused on how to do so, not whether to do so. To me, privatising the Land Registry would be nothing short of daylight robbery: it would rob the taxpayer of millions of pounds. The Land Registry currently brings £100 million into the Treasury in profits each year, so it is madness to steal that from the Treasury and stuff it into the pockets of private contractors, who would probably then add insult to injury by hiking the fees and ripping off the public. The enthusiasts of privatisation cite the benefits of healthy competition in providing a better service for the public, but we all know what happens to a privatised monopoly, which is exactly what the Land Registry would become. There would be no control over the service provided, and prices would be hiked.",2016-06-30 00:00:00,Nia Griffith
Land Registry,,"Indeed. My hon. Friend puts it concisely. Let us remember what happened with Royal Mail. Who is to say that this Tory Government will not be wilfully incompetent and will not sell off the Land Registry at a bargain basement price, as they did with Royal Mail, depriving the public purse of the true value of the asset? Even worse, we hear that the private companies interested in taking over the Land Registry have links with tax havens. It would be a double whammy: first, the Treasury may lose the revenue that the Land Registry brings in; and then, to add insult to injury, the Treasury may lose out because profits are offshored. We would lose not only the revenue but some of the tax take. As other Members have pointed out, in situations such as that with the Panama papers the public interest would be seriously hampered if FOI did not apply, as I understand it would not were the Land Registry a private company. All in all, it would be an absolute disaster, and that is before we even come to the issue of trust. Currently, the Land Registry’s customer satisfaction rating is enormously high—some 98%. People trust it because they know it is impartial, as only a Government body can be. How could we possibly guarantee that there would not be conflicts of interests if it were a private company? Then there is the issue of data protection. I am advised that there is nothing in law to prevent a private company from selling on personal data to buyers who wanted that information. For all the reasons mentioned both by me and by my hon. Friends, I implore the Minister to think again. He should listen as well to Government Members who also have concerns. Privatising the Land Registry is simply not the right thing to do. It is not just us who are saying that. The Law Society has set out its concerns very clearly. We have already heard concerns from practising solicitors. We really must keep the Land Registry in public ownership, so that we can maintain its integrity.",2016-06-30 00:00:00,Nia Griffith
Bank Branch Closures,,"My hon. Friend hits on the point that it takes up a lot of small businesses’ time if, instead of banking locally, they have to go to another town where the traffic is piling up. That is the complaint I have heard from people in Cross Hands because that is what they will be forced to do when their bank closes.",2016-06-30 00:00:00,Nia Griffith
Wales Bill,,"I rise to support amendment 7, to reaffirm my support for the Bill, and to thank the Secretary of State for bringing it forward so quickly. We would all like it to be enacted as soon as possible. I also thank him for recognising the growing body of Welsh law, and for his initiative to set up a body to consider that. Amendment 7 would confirm that body in writing in the Bill, meaning that a report on the state of affairs is made on a regular basis. As my hon. Friend the Member for Torfaen (Nick Thomas-Symonds) so eloquently expressed, this is not a simple issue about   which we can just have a yes or no discussion; it is a growing body of law and a number of complex issues arise. If that measure was included firmly in the Bill so that a report was made on a regular basis, we would have the opportunity to consider the direction things were going in and whether any changes were needed. The amendment states clearly that the report will consider “whether the single legal jurisdiction of England and Wales should be divided into a jurisdiction for Wales and a jurisdiction for England.” We want that practical, sensible solution included in the Bill so we can be certain that the review will continue to take place, and so that recommendations and reports come from that, which may or may not lead to a different view on things as that body of law grows. I reaffirm my support for the Bill, and I hope that amendment 7 will be included.",2016-07-05 00:00:00,Nia Griffith
State Pension Age: Transitional Protection for Women,,"Given the imminent takeover by the new Prime Minister, who herself falls into the category of women affected by the pension changes, would this not be the ideal moment to look again at the various proposals that have been advanced for much fairer transitional arrangements—such as the one from Mariana Robinson of Wales—for all the women who do not have a prime ministerial salary to fall back on?",2016-07-11 00:00:00,Nia Griffith
Point of Order,2017-05-01 17:12:00,"On a point of order, Mr Speaker. I have notified my right hon. Friend the Member for Islington North (Jeremy Corbyn) of my intention to raise this issue. On Friday, a member of my staff had his parliamentary pass deactivated, following an email from the office of the Leader of the Opposition to the parliamentary pass office. The email advised the pass office to terminate the passes of a number of staff who work for former members of the shadow Cabinet. May I seek your advice, Mr Speaker, about the propriety of Members seeking to deactivate the passes of other Members’ staff? Can you clarify the rules on that issue, because I was under the impression that authorising passes was the sole responsibility of the sponsoring Member?",2016-07-11 00:00:00,Nia Griffith
EU Referendum: UK Steel Industry,2017-05-01 09:50:00,"I am pleased to see the Minister in her place. I hope she is going to advocate and fight for us under the new Prime Minister. Business needs certainty. Investment depends on certainty about access to the markets and about the stability of the currency. We need clarity on the timetable and   process for Brexit. We need to know what sort of deal the Government intend to seek and we need very close dialogue between them and the steel industry so that steel companies know exactly what they are facing. It is a particularly difficult time for the steel industry, so it is vital that steel companies are given every possible guarantee of support and confidence so that they keep the industry here in the UK. We need the Government to make safeguarding the steel industry a top priority. With all the uncertainty of the future—uncertainty about access to the markets and the price that we could have to pay for imported steel—it is vital that we keep our own steel industry here, both for security and to support our manufacturing industry. Those advocating Brexit spoke of the opportunities it would offer to set our own conditions, but with that comes responsibility. The Government can no longer blame the EU. We need a Government who create the most favourable conditions possible for our steel manufacturers. They are now in direct competition with steel manufacturers around the world, so it must be made better for them to invest here in the UK than anywhere else. We need urgent action on energy prices. As has been mentioned, the carbon floor tax could be dealt with straightaway. It was unilaterally imposed, but we then sought state aid to offset its effects. We can do something about that instantly, but more than that I support the request by my hon. Friend the Member for Cardiff South and Penarth (Stephen Doughty) for innovation. We need much more direct investment in innovative projects wherein the energy plant is linked directly to the steel plant, thereby keeping energy costs right down. We need Government help and intervention to make that happen. We need speedy and targeted protection against Chinese imports. If we see that something is in direct competition with one of our products, let us act immediately so that we can protect our production lines. We also need much clearer incentives for research and development and for improvements to plant. We need a system of capital allowances and business rates that does not penalise plants that are trying to improve, increase their energy efficiency and be future leaders in their sector. We need a really clear industrial strategy for the wider opportunities for the steel industry. We need to know exactly why we are producing the steel, what it is for and how it links into our manufacturing chain. In order to protect that chain, we need to keep steel production in the UK. We have heard warm words about public procurement, but we have yet to see real delivery. We need our supply chains to go directly into the projects that have been mentioned, many of which have not yet started. I have particular fears for Tata Steel, which has a plant in my constituency, one in Port Talbot, and others throughout the UK. We are very worried indeed about what might happen in the talks with ThyssenKrupp. It is a very large conglomerate, and we have previously seen it decide that it just does not want to do certain things anymore and then pull out of certain sectors and close down all the factories. We have seen that happen with some of its car plants. I can easily imagine a scenario in which ThyssenKrupp simply hoovers us up,   then closes us down and moves all its steel manufacturing to continental Europe. The Welsh Government will do their best to provide support, but I implore the Minister to make sure that it is an absolutely no-doubt decision for ThyssenKrupp to keep its UK sites open, or that we have other options to explore for keeping our steel manufacturing here. It is vital that every potential obstacle is removed and that the best conditions are provided to encourage investment in our steel industry—investment for the future that will last. We need to ensure that we have a steel industry and a manufacturing industry, that we use our steel for procurement, and that we have the security of producing our own steel.",2016-07-13 00:00:00,Nia Griffith
EU Referendum: Political Consequences,,"Given that Wales will no longer receive funding through the European regional development fund, which is allocated on objective needs-based criteria, and that Holtham saw the Barnett floor as a temporary transition measure, what consideration is the Secretary of State giving to developing a clearly needs-based formula for allocating funding to Wales?",2016-07-13 00:00:00,Nia Griffith
Report of the Iraq Inquiry,2017-05-01 15:13:00,"It is a privilege to take part in this debate on the Chilcot report and to have listened to colleagues who have much greater knowledge and more direct experience of these issues and events than I have. I do not intend to repeat many of the points that have been made. I was not an MP at the time, so my opposition to the Iraq war came from my limited knowledge from outside this House. I made my views known vigorously to my then MP. In his report, Chilcot has been prepared to be very critical of processes and decisions, and the opportunity to be critical is vital to our democracy. What is important now is that we learn the lessons from the report. I wish to remind Members that it was the Labour Prime Minister Gordon Brown who set up the Chilcot inquiry in June 2009. He also set out the inquiry’s remit: it would cover the period between 2001 and 2009, including the way in which decisions were made and actions were taken; and identify the lessons that could be learned. There had been calls for an inquiry before, while our troops were still in Iraq, and our response was rightly that we should wait until all our troops had withdrawn and then the Labour Prime Minister would instigate an inquiry. We now need to learn the lessons, and we as parliamentarians should focus in particular on the decision-making process. The basis for the Attorney General’s advice on the legality of the war was: “The Attorney General understands that it is unequivocally the Prime Minister’s view that Iraq has committed further material breaches as specified in [operative] paragraph 4 of resolution 1441, but . . . this is a judgment for the Prime Minister”. The legal advice put the onus clearly on the Prime Minister, and the lesson that we should learn is that whether at the level of Prime Minister, Foreign Secretary, Defence Secretary, or the wider Cabinet, or as MPs, we should scrutinise any such advice carefully before we commit to war. In 2013, when MPs were considering the vote on military intervention in Syria, events in Iraq were very much in their minds. Put simply, when we see the terrible suffering in Syria, the dilemma is how to deal with it. Would our military intervention cause more suffering and make matters worse? What do we do about a leader such as Assad? Even if he were removed, who would fill the power gap? As the hon. Member for Basildon and Billericay (Mr Baron) said, we must fund the FCO properly and ensure that we have a thorough, detailed and up-to-date understanding of the complexities of what is happening in many foreign countries where there is the potential for conflict and we could be involved. The FCO is an easy option for cuts as it is out of sight and such cuts are not likely to cause public outcry, but if better understanding and diplomatic efforts mean that we can avoid the devastation and human cost of war, that represents money well spent. The same is true of the commitment to devote 0.7% of GDP to international development, because an important part of that work is conflict resolution. Such work helps to make the world a safer place and reduces the need for military intervention. During the previous Parliament, it was worrying to note that Sir John Stanley, the Chair of the Committees on Arms Export Controls, reported that since 2010 there had been less stringency about which regimes we were exporting to. It is vital that we are wary of which weapons we sell to whom. The Committees should continue to be vigilant and the Government should be responsive to concerns. We need to uphold our support for the UN and strengthen its work. On the Security Council, the UK is the informal lead on the protection of civilians in armed conflict. Therefore, as chair of the all-party group on weapons and protection of civilians, I am concerned that the UK— [Interruption.]",2016-07-14 00:00:00,Nia Griffith
Report of the Iraq Inquiry,,"Thank you, Mr. Speaker. I am concerned that the UK is not supportive of the UN Secretary-General’s initiative to develop an international political declaration to stop the use of explosive weapons with wide-area effects in populated areas. We must take seriously our responsibilities in the Security Council and do everything we can to avoid war by working through international organisations such as the UN.",2016-07-14 00:00:00,Nia Griffith
Terrorist Attack: Nice,,"I welcome the Home Secretary to her post. This horrific attack was carried out using no specialised equipment, but it is not enough for us to play catch-up and think about how to protect people from a lorry attack. We should be imagining the unthinkable and pre-empting and taking precautions against every method of attack. Without going into detail, of course, can the Home Secretary give us assurances that the security services are doing that?",2016-07-18 00:00:00,Nia Griffith
Cockling: Dee Estuary,,Does my hon. Friend agree that all accounts from NRW and the Environment Agency on the Dee estuary and other cockle beds should be fully published and readily available? People should not have to make freedom of information requests so that we can all see exactly what is going on.,2016-07-19 00:00:00,Nia Griffith
Points of Order,,"On a point of order, Mr Speaker. This morning the Secretary of State for Wales—I have made his office aware of my intention to raise this point of order—announced major changes to the timetable and content of the proposed Wales Bill; he has decided to jackknife the Bill and skid it to an undignified halt. Instead of coming to the House to inform right hon. and hon. Members and answer their questions about how he will proceed, he choose to make that significant announcement in front of a gathering of journalists in Cardiff, even suggesting on Twitter that hon. Members can wait until Thursday to question him. Did he give you any indication that he would be announcing this major change of policy today, Mr Speaker, and has he indicated that he will be making an oral statement to the House, as per paragraph 9.1 of the ministerial code?",2016-02-29 00:00:00,Nia Griffith
Gangs and Serious Youth Violence,,"On a point of order, Madam Deputy Speaker. I am amazed to see that the Secretary of State for Wales is not in his place to respond to our next debate today, despite the fact that he made an extremely important announcement about fundamental changes to the draft Wales Bill on Monday, to journalists and not to this House, with the Wales Office tweeting at the time that hon. Members could wait until today to debate these changes. Have you been   made aware that the Secretary of State plans to attend today’s debate to answer the important questions that Members have for him?",2016-03-03 00:00:00,Nia Griffith
Wales Bill,,"Does the Minister accept that it was in our 2010 manifesto? It was actually our Secretary of State who put it in our manifesto, so it came from us originally.",2016-06-14 00:00:00,Nia Griffith
Draft Wales Bill (Morning sitting),,That is precisely my point.,2016-02-03 00:00:00,Nia Griffith
Draft Wales Bill (Morning sitting),,My hon. Friend put that very well indeed — [ Interruption. ],2016-02-03 00:00:00,Nia Griffith
Draft Wales Bill (Morning sitting),,"It is remarkable that we have seen the entire Conservative group in the Assembly, including the leader of the Welsh Conservatives, supporting a series of motions that savage the Secretary of State’s Bill. I hope he will take the time to sort out this Bill, but his inability to convince even his own colleagues hardly fills me with confidence. The Secretary of State said last year that it is vital that we get the Welsh devolution settlement right. For that to happen, the Bill needs a radical rewrite. It is not enough for the Wales Office just to go through the motions and tinker with it at the margins. Yes, we need fewer reservations; yes, we want an end to the necessity test; yes, ministerial consents must follow the Scottish system. But that is not enough to make this shoddy Bill work. Unless it is radically overhauled, Labour MPs will vote against it on Second Reading, not because we do not want the Assembly to have more powers, but for exactly the opposite reason. The Opposition will not vote for a Bill that deliberately rolls back the Assembly’s powers, makes it harder to pass laws and will almost certainly lead to thousands of pounds of taxpayers’ money being wasted on legal challenges. The Bill is not the clear and lasting settlement that the Secretary of State promised. It is not what the Welsh public voted for in the 2011 referendum. It is poorly drafted, unduly complicated and unworkable. The people of Wales deserve better.",2016-02-03 00:00:00,Nia Griffith
Welsh Economy,,"Last year, the Secretary of State said his ambition was to secure more balanced growth in the Welsh economy, but on his watch we are seeing the loss of hundreds of jobs in our strategically important steel industry. The Government are being painfully slow to heed our warnings on cutting energy costs, and weak and disingenuous when it comes to standing up to Chinese dumping. With EU backing given in December, how much longer will the Government delay the energy compensation package the steel industry in Wales so desperately needs?",2016-02-24 00:00:00,Nia Griffith
Welsh Economy,,"The Government also have a key role in commissioning large infrastructure projects, which can boost manufacturing and rebalance the economy. Manufacturers across Wales, who are gearing up in earnest to supply the Swansea bay tidal lagoon, share my deep concern that the Government are now planning a lengthy review, which could scupper the project altogether. Will the Secretary of State now give us an unequivocal guarantee that this vital project will not be sunk by his Government?",2016-02-24 00:00:00,Nia Griffith
