date,text,mp,debate,time
2014-12-05 00:00:00,Will the Minister give way?,Diane Abbott,Economic Growth (London),
2014-12-05 00:00:00,"I am grateful to the Minister. I realise that he does not have much time to get through his speech. The infrastructure that he has spoken about, which has been built in recent years, was all planned and organised in the era of Ken Livingstone as Mayor of London.",Diane Abbott,Economic Growth (London),
2015-06-09 00:00:00,"I entirely agree that local authorities have a significant role. If I were Mayor of London, I would try to bring them together and offer leadership on this issue. It is not just a matter for the Mayor or the Government; it is also a matter for local authorities. It is also about the personal choices we make about our travel and our children’s lives. Already this year, according to the latest research, up to 1,300 people have died across the city. The Clean Air in London campaign group argues that more than 7,000 Londoners a year are now dying prematurely as a result of toxic air. It is well established that toxic air is a direct cause of bronchitis, asthma, strokes and even cancer and heart disease. We all recognise that the level of childhood asthma is now far higher than any of us knew when we were at school. I cannot believe that there is no connection between those very high levels of childhood asthma and rising levels of air pollution.",Diane Abbott,Air Pollution (London),
2015-01-21 00:00:00,"I am in no turmoil whatever. I will be walking through the Lobby with pride behind my hon. Friends. We cannot know exactly how much a mansion tax, if levied, would raise towards the national health service. What we do know is that the British people who want to save the national health service from the depredations of Government Members have to vote Labour. We have to vote for my right hon. Friend the Member for Leigh (Andy Burnham) to become Secretary of State for Health—",Diane Abbott,National Health Service,
2015-01-05 00:00:00,"Is the Secretary of State aware that, specifically in relation to what happened at King’s Cross, the travelling public will not be impressed with his bland assertion that “some aspects” of the work were delayed? Does he know which aspects were delayed? Is he able to share that with the House? Does he accept that the travelling public, including those poor people caught up at Finsbury Park, feel that so long as Network Rail can get away with just saying, “Aspects of the work were delayed”, these delays will continue to happen?",Diane Abbott,Rail Network (Disruption),
2015-01-05 00:00:00,"Pauline Cafferkey is a heroine and the thoughts of the whole House are with her and her family at this difficult time. Many people will be glad that the Secretary of State mentioned the hundreds of African health workers who have died fighting Ebola, showing extraordinary heroism and devotion to duty. Our constituents, including those linked to families in that region, will want to know that we will continue to give the region all the support we can in fighting Ebola long after it has dropped from the headlines.",Diane Abbott,UK Ebola Preparedness,
2015-01-12 00:00:00,"I draw the House’s attention to the Register of Members’ Financial Interests, where I have registered visits to Nigeria over the years. The Minister will be aware that the situation in Nigeria is a matter of great concern to the British people. It is also of concern to the tens of thousands of our constituents with strong family connections in Nigeria who want to know what the British Government are doing for their friends and family. As he pointed out, Nigeria has the capacity to deal with Boko Haram if it so chose. After all, it has the largest GDP on the continent and spends huge amounts of money on arms and weaponry, and it was very effective in relation to Ebola. Does he agree that people want to know what the British Government are doing to put maximum political pressure on the Nigerian Government to make them aware that people all over the world are watching them and want them to step up to this crisis?",Diane Abbott,Nigeria,
2015-01-14 00:00:00,"Does the Home Secretary agree that while there cannot be a scintilla of an excuse for the psychopathic slaughter that we saw in Paris last week, and that security measures must be paramount, in the long run one thing that will make us safe is to reach out to marginalised communities in this country that mirror those from which the killers came? We must ensure, whether by addressing education or employment, that those communities cannot become fishing grounds for people who pedal violence, hatred, and nihilism.",Diane Abbott,Terrorist Attacks (Paris),
2015-02-12 00:00:00,"I very much agree with my hon. Friend. As he says, there are cost of living issues. Then there are spiralling housing costs. Health care in London has some of the biggest turnover and some of the highest vacancy levels of any health care provision in the country. The pressures of the cost of living crisis and the housing crisis are making it increasingly difficult to provide permanent staff to meet the health care needs in general and the mental health needs of Londoners. I shall focus in my speech on the cost to London of the mental health crisis and the importance of parity of esteem between mental and physical health, about which   Members on both sides of the House have spoken. It is important to stress it, because we are nowhere near parity of esteem when it comes to the questions of finance and resources. I also want to talk about the mental health and well-being of London’s lesbian, gay, bisexual and transgender community, and about the growing crisis of mental illness among our children, adolescents and young adults. I shall also deal with something not often spoken about—mental health issues in our black and minority ethnic communities in London. It is important, because mental health is sometimes a marginalised issue, to talk about the huge cost of the mental health challenges to London. Recent figures indicate that almost a million adults of working age in London—15.8% of the adult population—are affected by common mental disorders such as anxiety and depression. I was in the House about 18 months ago when Members of all parties bravely talked about their own experience of depression and how they felt a stigma and found it very difficult to get treatment. It is estimated that 7% of London’s population have an eating disorder, that one in 20 adults has a personality disorder; that 1% of Londoners are registered with their GP as having a psychotic disorder such as schizophrenia, bipolar and other psychoses; and that nearly half of Londoners are anxious. London has the UK’s highest proportion of people with high levels of anxiety. In addition, almost a third of Londoners report low levels of happiness, which must clearly be exacerbated by the cost of living issues we have mentioned. The number of Londoners reporting low levels of happiness is well over 2.5 million. We London MPs see many of them in our surgeries week after week. In basic economic terms, almost £7.5 billion is spent each year addressing mental health issues in London, while according to the Greater London Authority, the wider health, social and economic impact of mental illness costs the capital an estimated £26 billion. In social care costs alone, London boroughs spend around £550 million a year treating mental disorder, and another £960 million each year on benefits to support people with mental ill health. There are some concerns about the changes in welfare and the—",Diane Abbott,Mental Health and Well-being of Londoners,
2015-02-12 00:00:00,"I am grateful to you, Madam Deputy Speaker. As ever, you are punctilious about matters of order. London boroughs spend about £550 million a year on just the social care costs of treating mental disorders. Another £960 million is spent each year on benefits to support people with mental ill health. Across the population, the net effect of those wider impacts substantially affects London’s economy, infrastructure and population. Mental health is not simply an issue for health and social care; it is an issue for everyone. Mental health conditions   debilitate London businesses each year by limiting employee productivity and reducing the potential work force. Every year £920 million is lost owing to sickness absences, and a further £1.9 billion is lost in reduced productivity. Moreover, the costs extend more widely: the staggering sum of £10.4 billion is lost each year to London business and industry as a result of mental health issues. The London criminal justice system spends approximately £220 million a year on services related to mental ill health, and other losses such as property damage, loss of stolen goods and the lost output of victims cost London a further £870 million. Those costs are already too high, but treatment costs are expected to grow over the next two decades. Mental health issues also prevent physical health conditions from being addressed properly. However, mental ill health remains one of the least understood of all health problems. The problem is exacerbated by the existence of an obstinate and persistent stigma that prevents people from talking about mental health or paying attention to the debate about it, and therefore prevents us as a society from addressing it properly. I want to say a little about the issue of parity of esteem between mental and physical health. The continuing lack of parity of esteem, in terms of both funding and attitudes, underlies some of the mental health problems not just in London, but throughout the country. As the daughter of a mental health nurse, I am very clear about the fact that there is no parity of esteem between mental and physical health. My mother came here as a pupil nurse in the 1960s, and was part of the generation of West Indian women who helped to build our NHS. She took time off work to bring up a family, but she returned to nursing in the 1980s, and her subsequent career in mental health exemplified the issues involved in the lack of parity of esteem. The first thing that I want to say about parity of esteem is that those who might be described as the high fliers in health do not necessarily go into mental health. That has always tended to be the case. I shall never forget something that happened in 1987, when I was a brand-new MP. The then chief nurse at City and Hackney told me that I must visit the hospitals in the area. She said that I should meet her at 10 pm, and she would take me to the three major hospitals in hospital: Bart’s, Homerton, and Hackney mental hospital. I met her, and we went around Bart’s. She did not think it in any way remarkable that in Bart’s, even at the dead of night, we did not see a single black nurse. Then we went to Homerton, where there were quite a few black nurses doing the night shift. The chief nurse said to me innocently, “You know, they”—meaning nurses of colour, I assume—“seem to prefer the night shift; our day shift is quite different.” Then I went to Hackney mental hospital. Although this happened in 1987, I have never forgotten it. The mental hospital was, literally, an old workhouse. It was as grim as anyone could possibly imagine—and, of course, all the nurses there, day and night, were BME. I am afraid that that pointed to a lack of parity of esteem, in the context of the way in which nurses were allocated and the direction in which their careers were leading. I am not in any way detracting from the specialists in mental health, but in respect of nurses there has long been a stratification when it comes to who should work in mental as opposed to physical health. My mother was a devoted mental health nurse who dealt with geriatric patients with dementia. When my brother and I were older and she went back to nursing, she worked in a hospital outside Huddersfield called Storthes Hall. Thankfully, it has now been closed. It was another former Victorian workhouse, and it looked exactly like a Victorian workhouse. One had only to visit that hospital, see the conditions there and then visit the new Huddersfield royal infirmary in the centre of Huddersfield to see physically demonstrated the complete inequality in services offered to people with physical illness as opposed to people with mental illness. For a number of years, there has been more focus on mental health in all parties, which is to be welcomed, and more focus on the importance of parity of esteem. However, the financial issues are a challenge. For many years, mental health has been chronically underfunded and it has the reputation of being a Cinderella service. At national level, mental health accounts for 28% of the pressure in the NHS, yet on average clinical commissioning groups spent just 10% of their budget on mental health in 2013. Separate investigations by Community Care and the BBC showed that mental health trusts had their budgets cut by 2.3% in real terms between 2011-12 and 2013-14. The effects of some of those cuts have been felt throughout the system. There have been difficulties in accessing talking therapies. Service provision is creaking at the seams. Over 2,000 mental health beds have been closed since 2011, leading to several trusts with sky-high bed occupancy rates. There is no question—perhaps Ministers will query this—but that austerity and issues with welfare, access to housing and unemployment have put some of London’s most deprived communities under pressure. Welfare cuts, the lack of stable tenancies and improperly enforced employment regulations must have an effect on the incidence of mental health-related illness. Therefore, on the one hand we have cuts to funding and on the other a rise in the conditions that affect people’s well-being and ultimately their mental health. That is a double-edged sword that spells disaster for the well-being of Londoners. The specific mental health needs of LGBT Londoners are not discussed often. For a long time, London has been a city where young people come to find themselves. It is an inclusive environment where LGBT people are welcome. London boasts a dynamic gay scene and has successfully hosted World Pride. LGBT Londoners are now able to get married, to raise families and are equal before the law. We must safeguard those achievements by ensuring that they have access to appropriate health care and mental health provision. It is time to change the stereotype that LGBT people are busy partying and having a good time. Unfortunately, it is not a wholly accurate depiction of the community. There are various estimates about the incidence of mental health problems in LGBT groups, but research I have seen says that sexual minorities are two or three times more likely to report having a long-standing psychological or emotional problem than their heterosexual counterparts; and that two out of five LGBT people will experience a mental health problem at some point in their lives, which is quite a high proportion. In 2014, Stonewall said: “Compared to the general population, lesbian, gay and bisexual people have higher rates of mental ill health as well as alcohol and drug consumption. Lesbians are also more likely to have never   had a cervical smear test, while gay and bisexual men are more likely to experience domestic violence.” Particularly among young LGBT people, we see rising levels of self-harm. Homophobic behaviour is going unchallenged in the workplace and on London’s public transport system, and hate crimes against LGBT people remain stubbornly high. There are also issues about access to mental health services for LGBT groups. The situation is even worse for black and minority Londoners who identify as lesbian, gay or bisexual, among whom rates of suicide and self-harm are higher than among than the population generally. Some 5% of black and minority ethnic lesbian and bisexual women have attempted to take their own life in the last year, compared with just 0.4% of men over the same period, and one in 12 have harmed themselves in the last year compared with one in 33 in the general population. What are the Government doing to improve the training of NHS staff on the specific health needs of LGBT people and black and minority ethnic LGBT people, because at present they are both challenged with higher levels of mental health issues but have difficulties accessing services? There are particular challenges in London associated with the recent reorganisation of the NHS, moving responsibility for public health to local authorities. In principle that move makes it much easier to address the social determinants of ill health, including mental health, but the concern is that because of pressures on local authorities funding for mental health will drop and the ability to provide London-wide services for groups, such as the LGBT community, will weaken. The House will know that my party is not proposing to put the NHS through a further reorganisation when we return to office in a few months’ time. However, it would make sense for existing structures in London to monitor outcomes for LGBT people throughout the capital, and given the complexity and size of London we cannot simply take a one-size-fits-all approach to LGBT issues. Young people today are living in a time of unprecedented pressures, with smartphones, the internet, a world of 24-hour communication, new avenues for bullying, new fears and new concerns. The issues are plain to see in the growing demand for services for young people across London, with London hospital admissions for self-harm rising from 1,715 in 2011-12 to 2,046 in the last year. At least one in 10 children in the UK is thought to have a clinically significant mental health problem, which amounts to 111,000 young people in London. The impact of childhood psychiatric disorders costs London’s education system approximately £200 million a year, and in 2013 the Children and Young People’s Mental Health Coalition found that 28% of joint health and wellbeing strategies in London did not prioritise children and young people’s mental health. What are the Government doing to ensure that joint strategic needs assessments look at, and include information about, the size, impact and cost of local children’s mental health needs, to ensure that sufficient services are being commissioned? Will the Minister ensure that data about BME young people and children will be comprehensively included in the new national prevalence survey of child and adolescent mental health being   commissioned by the Department of Health? Concerns have been raised in this House previously about the funding of services for children and adolescents, but it is clear in London in particular that there is an unravelling crisis in relation to young people and mental health. As I said at the outset, London’s youth, and youth nationally, live in an era of unprecedented pressure. Data obtained from a freedom of information request of top-tier local authorities in England by the mental health charity Young Minds revealed that in 2010-13 local authorities in London cut their children and adolescent mental health service budgets by 5%, at a time of increasing pressure on young people. The latest data show that Southwark cut its budget by 50%, as did Lambeth and Hounslow. Tower Hamlets cut its budget by 30%, and Haringey cut its budget by 10%. Those are some of the most deprived boroughs in London, and if they are really cutting their expenditure on young people’s mental health care to that extent, it is very serious.",Diane Abbott,Mental Health and Well-being of Londoners,
2015-02-12 00:00:00,"My hon. Friend is right to say that the cuts are arbitrary, and they certainly do not account for unmet need. In my time as a Member of Parliament—my hon. Friend must have had similar experiences—I have met many mothers and other people who are unable to access the mental health care that they need, particularly talking therapies. Cutting provision at a time when we do not even know the size of unmet need is very dangerous. I want to turn now to mental health care provision for the black and minority ethnic community. I have looked at this issue over many years, and I believe that the manner in which the mental health system fails people of colour is a tragedy that has been consigned to the shadows for too long. As well as talking about parity of esteem between mental health and physical health, we need to talk about a parity of care between all sections of the community, and at this point that is not happening. I hope to set out briefly some of the findings of the research that has been carried out over the decades on black people and mental health, but my central point is that black and minority ethnic people are not getting parity of care and service. This is a long-standing issue that goes back decades, and I call on the Government to do what they can. I shall also call on the incoming Labour Government to pay attention to this issue in a way that has not happened in the past. Governments genuinely need to understand and address these needs. Black and minority ethnic mental health is a particular issue for London because half Britain’s black and ethnic minority community is inside the M25. Sometimes it is hard to get the data we need, but we know, for instance, that in Lambeth—less than a mile from this Chamber—more than half the people admitted to acute psychiatric   wards, and more than 65% of the people in secure wards, are from the Caribbean and African communities. I know from regularly visiting Hackney’s psychiatric wards, and the Hackney forensic unit, that the proportion in Hackney is as at least as high, if not higher, than that. We have accurate statistics for Lambeth, but we only have to walk into psychiatric wards across London to see that the majority of beds in the big mental health institutions such as the Maudsley are occupied by people of colour. I remember, as a new MP in 1988, raising the disproportionate number of black people on wards with the head of psychiatric services in City and Hackney. I asked, “Why are so many people on your wards black and minority ethnic? It’s way out of proportion even with the population of City and Hackney.” City and Hackney produced three very senior psychiatric doctors to talk to me about this. They turned to each other, paused, muttered, and one suggested that it might have something to do with “ganja psychosis”. Another then ventured the opinion that perhaps more mad people were migrating from the Caribbean. I had to say to him, “It’s hard enough to get into this country if you’re sane; it is to the highest degree unlikely that the authorities are allowing all these mad people to come into the country.” But the striking thing about that conversation was that it was not some casual conversation on a ward; the head of psychiatric services had marshalled the three most senior psychiatric doctors in City and Hackney, and the only explanation they could offer for their wards being full of black people was “ganja psychosis”. I was struck by how low the level of knowledge was and how low the level of interest was. I also know from my years as a Member of Parliament how many black families are struggling with the consequences of the mental health system’s failure to offer the right support at the right time, and the help and services to which they are entitled. One of the saddest things I see in my work as a Member of Parliament is black mothers, single heads of household, struggling with black males in their household who clearly have chronic mental health problems. I have had women come to see me who have been assaulted by their own son. When they are told that they should go to a GP and that perhaps their son needs to be sectioned, they say,” No, no, no.” That is because there is a terrible fear in the black community of the mental health system. Some women would rather risk assault by their own son and live in fear than consign their son to the mental health system, because their understanding is that once that system gets their child, the child is pumped full of drugs and never comes out again or, if they do, they are not the same. So it is time this Government and any incoming Government give more attention to issues relating to black people and mental health. Those issues have not altered in decades: there are disproportionate numbers of black people, particularly men, in the system; we are more likely to be labelled “schizophrenic”; we present later to the system, which makes matters worse; we are more likely to come to the mental health system through the criminal justice system, particularly by being picked up by the police on the street and finding ourselves sectioned; and we are less likely to be offered talking therapy. I remember going in the ’90s to a mental health therapy centre in west London that specialised in talking therapy and did excellent   work. I noticed that there were no black and minority ethnic people there and when I asked about this I was told, “Oh, we find that black and minority ethnic people don’t benefit from talking therapy.” That is an extraordinary attitude. We need to do more to make talking therapy available across communities, including BME communities. Black people are also statistically more likely to be offered electroconvulsive therapy—in other words, they are more likely to be plugged into the mains. There is also a terrible history of deaths in mental health custody, which are often to do with the type of restraint used and a fear of a violent black male. There is a whole string of such cases, of which Sean Rigg’s is one of the most recent.",Diane Abbott,Mental Health and Well-being of Londoners,
2015-02-12 00:00:00,"I am grateful to you, Madam Deputy Speaker, as you are so precise about order. I would not want to think that the length of my speech will prevent anyone else who wishes to speak from entering into the debate. In conclusion, let me say that the issues I am raising about mental health in London—the cost of mental health to Londoners, and the effect of the under-provision of mental health services in London, not only to the individuals and families who suffer, but to London as a whole—are vital ones. I am glad I was able to bring them to the House and I am sorry if you feel I have gone on at too great a length, Madam Deputy Speaker. The issues associated with what is happening to black people and mental health include the lack of provision, the over-representation in the system and the fear that black families have of the mental health system. So this is a huge issue, and it is one that is not debated enough in this House. I am sorry that you felt I spent too long on the issue of black people in London and mental health. What is happening to our young people and children is a new crisis, which is definitely not being debated in this House, and I am glad to be able to draw it to the attention of the House. Absolutely in conclusion, may I say that these are vital issues for Londoners. In the end, addressing health care is about addressing all the social determinants—the welfare system, housing, employment or education. I am glad to have had the opportunity to draw the House’s attention to how serious the crisis is, particularly in relation to our young people. I wait with interest to hear what the Minister has to say.",Diane Abbott,Mental Health and Well-being of Londoners,
2015-02-12 00:00:00,"Does my hon. Friend agree that one of the worst examples of the way in which the media treat mental illness was  The Sun  which, when the well known boxer, Frank Bruno, had mental health issues, had a front page headline, “Bonkers Bruno”, for which it eventually had to apologise?",Diane Abbott,Mental Health and Well-being of Londoners,
2015-02-12 00:00:00,"I probably did not make myself clear. I was saying that people of colour—black and minority ethnic people—are far more likely to enter the mental health system as a result of being picked up by the police. That is all I was saying. I was not making a general point, but a specific point about that being one of the main ways we enter the mental health system.",Diane Abbott,Mental Health and Well-being of Londoners,
2015-06-09 00:00:00,"The hon. Gentleman makes an important point. Throughout the Mayor’s tenure, there has been a growing gap between what he has said about air pollution and what he has done on the issue. That is not unsurprising; Boris Johnson is a politician who talks a good game, but does not necessarily deliver. One example is the introduction of ultra-low emission zones, which would require vehicles travelling to central London to meet stricter emissions standards or pay a daily charge. Since proposing the ultra-low emission zone nearly two years ago, Boris Johnson has taken a series of backward steps. His approach to the issue is inadmissibly weak. Waiting until 2020 to introduce the zone is simply costing lives. A range of organisations including the London boroughs, the London Health Commission, the Faculty of Public Health and the Royal College of Physicians have come together to call for the ultra-low emission zone to be strengthened, with early implementation, wider coverage, stricter standards and stronger incentives, but from Mayor Boris Johnson, we hear nothing. The financial costs to a fraction of drivers and voters must be weighed against the health benefits, including to those same drivers, who are the most at risk from pollution, and to the larger population, particularly children, who are exposed to air pollution in central London and beyond, all the way to Dartford. Furthermore, Boris Johnson has paid no heed to the findings of the Marmot review of health inequalities, which linked higher exposure to air pollution among poorer communities with an increased risk of cardio-respiratory disease. Nationwide, 66% of man-made carcinogenic chemicals are released into the air in the most deprived 10% of English city wards. It is imperative that the incoming Mayor—I hope it will be me—widens the scope of measures and schemes designed to reduce pollution. By restricting his focus to central London and zone 1, Boris Johnson has abdicated his responsibility to the most vulnerable by excluding those in densely populated, heavily polluted and disadvantaged areas, and given no thought at all to areas outside London that are also affected by high levels of air pollution  in London. I want, and Londoners deserve, for London to become the world’s greenest capital city. The proposed solutions are as follows. We cannot fight the environmental challenges facing London, including air pollution, in a silo. We need a Mayor of London who will advocate for sustainability, low energy consumption and efficient waste reduction ideas that permeate all sectors, including housing, transport, healthcare, education and business. Not all London’s air quality issues result from the number of motor vehicles on our roads, but reducing the number and cleaning up their fuel sources would lead to big improvements. An incoming Mayor must incentivise use of electric cars and work actively to decrease the number of diesel vehicles on our roads. With London’s population growing year on year, our city is at a crossroads on the issue of the environment in general and air pollution in particular. Londoners must choose whether they want a change for the better. A London with cleaner air and an increased reliance on renewable energy, and that is a safe city for cyclists and pedestrians, is an achievable reality with the right political will; I contend that the current Mayor has not shown that political will. An incoming Mayor must take urgent action. For instance, it is unacceptable that statistics from 2013 show that the City of London has the highest carbon footprint per person in the whole of the UK. The average Briton produces 12.5 tonnes of carbon dioxide a year, but emissions per head in the City are 25% higher than that. Maybe that is because the people there are more important or wealthy, but it is not acceptable. The Mayor should consider the use of sustainable technologies. I visited a very interesting project in Hackney a week or so ago, where solar panels have been put on top of a big council block. That enables people there to get their electricity more cheaply, and it is also a sustainable energy source. It is a very interesting project, which could be potentially rolled out across London. Current efforts are insufficient. Not enough progress has been made on increasing the number of hybrid buses in TfL’s fleet; rectifying that deficiency should be a priority. The fact that Oxford Street remains one of the most polluted streets in the world is evidence that measures to reduce pollution from taxis and buses are not being pursued with sufficient energy. We need to establish more accessible grants for environmentally friendly infrastructure development. London can become a global leader in the proliferation of renewable energy sources, such as solar power. London would do well to adopt such good practices as the creation of last-mile delivery hubs, to ensure that the carbon footprint of final-stage delivery is minimised. There are firms in the City that encourage their employees to walk more—if not to work, then at least between offices. We need to improve London’s sustainable infrastructure; that would create jobs in construction and logistics. Also, the environmental future of our city must be considered when solving London’s housing crisis; we should think about sustainability and environmentally friendly projects. For example, housing developments that incorporate super-insulation would help to reduce the ever-increasing energy bills of Londoners. We also need to step up our efforts to make the city a safe and accessible place for cyclists. If more people could be encouraged to drop their cars and get on their bikes,   London would be a greener and more liveable city. Not enough has been done to address that; it should be treated as an urgent necessity. In conclusion, there is no doubt that Members of all parties understand that this is an important issue that has not been properly addressed. There can be no doubt that the airport expansion at Heathrow that is being talked about would be the death knell of efforts to improve levels of air pollution, because aviation is such a major cause of air pollution. Toxic air in London is killing Londoners, and we urgently need measures to tackle it. Promises to meet EU guidelines by 2025 or even by 2030 are unacceptable, and it is shocking that it has taken direct action from the Supreme Court to force the Government and the Mayor to address this issue seriously. It is clear that we have a real opportunity to tackle air pollution through a wholesale shift in the way that we view our living environment. For London, Londoners and the wider population in the UK, it is imperative that we seize the initiative and put an end to this silent killer once and for all, and I am using this opportunity to urge all stakeholders to step up and take responsibility. Individual companies can encourage sustainable travel on the part of their employees; housing developers can encourage sustainable development that uses renewable energy; borough councils can do more to encourage cycling to school, and they can also give out information about air pollution; the Mayor of London, who I think we can agree has comprehensively failed on this issue, can do more; and so can the Government. People should not have had to go to court to force the Government to recognise their responsibilities under EU law. This important issue is not being dealt with, and as we fail to deal with it thousands of Londoners die every year. I am grateful to the House for having been given the opportunity to bring it to the attention of Members.",Diane Abbott,Air Pollution (London),
2015-01-07 00:00:00,"The Secretary of State spoke about the algorithms used by 111 call handlers. Does he appreciate that a frightened mother with a sick child is not really interested in algorithms? What she wants to know is that her child can get the medical help that they need promptly. He has told the House that he has been having meetings on this winter crisis since March. Is he not a little bit embarrassed that we now have people queuing to see their GPs first thing in the morning, ambulances queuing outside hospitals, people being treated in tents outside hospitals, and old people staying in hospital longer than they need to because there is a lack of funding and no proper co-ordination between health and social care?",Diane Abbott,A and E (Major Incidents),
2014-10-30 00:00:00,Will my hon. Friend give way?,Diane Abbott,UK Drugs Policy,
2014-12-17 00:00:00,"I have listened with great attention to the hon. Gentleman’s compelling rhetoric. He spoke about the management of the mad house. Is it the management of the mad house to try to force families in houses that allegedly have too many bedrooms out of that accommodation in a borough such as Hackney, where there simply are not enough one or two-bedroom flats for them to move in to?",Diane Abbott,Housing Benefit (Abolition of Social Sector Size Criteria),
2014-11-20 00:00:00,Does the hon. Gentleman agree that attempts at regionalisation in the previous Parliament showed that the British electorate are not interested in new layers of government in England?,Diane Abbott,Devolution and the Union,
2015-01-20 00:00:00,"My right hon. Friend is making an excellent speech. Does she appreciate that almost all my constituents and millions of Labour supporters up and down the country cannot understand why, when we are seeing massive cuts in our public sector and welfare state, we are going to spend upwards of £20 billion on a weapons system that will not make us safe and is not genuinely independent?",Diane Abbott,Trident Renewal,
2014-11-03 00:00:00,"The Home Secretary will be aware that very many survivors of sex abuse were genuinely frightened and upset at the notion of Fiona Woolf chairing the panel. Mr Alex Wheatle, who experienced child abuse in the Shirley Oaks home in Croydon, wrote in  The Independent  to that effect, so it is for the best that she has now withdrawn. On the question of security services, if the security services refuse to supply information, or if they supply information that is so heavily redacted that it is worse than useless, what recourse will the chair of the inquiry have?",Diane Abbott,Child Abuse Inquiry,
2014-11-06 00:00:00,"I am grateful for the opportunity to speak in this important debate on Iran. If we look at the middle east today—which is at risk of conflagration from end to end, whether it be in Iraq, Syria, Lebanon, Israel-Palestine or even Afghanistan—we will see that Iran is a key player. If we are to resolve some of the issues, Her Majesty’s Government and this House must take a nuanced and sophisticated approach to our relationship with Iran. It is not helpful to talk about Iran, or even its regime, as a monolith. As most of us should know, there are separate and distinct factions within the regime that are jostling for supremacy at any given time. I do not wish to take away from the seriousness of the human rights issues in Iran. My hon. Friend the Member for Hammersmith (Mr Slaughter) has mentioned his constituent, Ghoncheh Ghavami, a British resident who is subject to imprisonment, apparently for a year, for going to watch a men’s volleyball match. I think that any British person would be shocked at any regime that treated somebody in that fashion. As we have heard, she is on hunger strike for the second time in protest against her illegal detention, and her lawyer has seen court documents stating that she has been sentenced to a year   in prison. The prosecutors, however, have not confirmed her sentence, so she is in limbo. That is an appalling way to treat a young woman. Although I think it is correct that this particular case should not form part of the issues relating to international relationships and so on, she is a British resident who is being treated extremely cruelly and unfairly. This is an humanitarian issue and I want Her Majesty’s Government to do more to help this British resident, who is subject to a cruel and unusual punishment for doing no more than going to watch a sporting match, which British women do every day of the week.",Diane Abbott,Iran (UK Foreign Policy),2017-05-01 13:17:00
2014-11-06 00:00:00,"The hon. Gentleman has said that the Iranians are not nice people. Does he think it is wise to characterise an entire nation, and even an entire regime, in that light? Even within the regime there are different factions. Is it helpful to talk about them in those terms?",Diane Abbott,Iran (UK Foreign Policy),
2014-11-20 00:00:00,Is my right hon. Friend against?,Diane Abbott,Money Creation and Society,
2014-11-20 00:00:00,,Diane Abbott,Money Creation and Society,
