text,time,date,mp,debate
"Some shocking examples are emerging. They are, admittedly, anecdotal, but we also have the inspector’s report, which says this is about more than just individual problems. On the supply of information to the CRCs, I was interested to see that the report’s authors interviewed two offenders, who said: “staff who had seen them did not know anything about them”. As they said, it was not a particularly “good start” when even the probation officer they were supposed to be supervised by did not know them. We raised the issue of IT before the reorganisation started, and we have done so since. All the evidence we have had from staff completely confirms what the inspector says, which is that the IT system is “slow running” and has “an unreliable search facility”. However, there is one issue I found extraordinary—indeed, it is almost farcical. When does the probation officer most need the IT system? Usually, when they are in court. However, under the current system, they cannot connect their laptops to the network when they are in court—there is no remote connection. That is farcical—or it would be if it were not so dangerous and we were not talking about the supervision of people who have offended and who put the community at risk. On electronic records, the report says: “Not all staff understood the system had the ability to upload and store a range of documents electronically”. On the IT change process, the report says: “the perception amongst staff we interviewed was that many of these changes were introduced at short notice and with little opportunity for formal training,” which is exactly what we have said in several debates in this Chamber over the past six months. The management then introduced workarounds to try to get people up to speed, but the inspector says they “were cumbersome and were not fully understood or, therefore, used by staff.” On the links between individual IT systems, the report says: “We found most operational staff and managers were completely unaware that the two existing systems could be linked so that each system updated the other whenever a new assessment was completed.” What is most worrying, however, is the issue of warning flags, which are meant to go on the system to warn staff about threats relating to the behaviour of individuals being supervised by probation officers. The report says: “We found these flags were often either not used, or carried out of date or misleading information.” That is absolutely shocking, to be frank. All through, the report confirms what we have heard from staff. We have heard consistently that there are not enough staff. Speaking about staff grades and allocations, the inspector—I think he is being diplomatic at this stage—says: “Not all areas had the ideal balance of probation officers and probation services officers to cover courts”. We now have evidence from NAPO and staff on the front line that some probation officers are being allocated cases and work beyond their training and pay grade. Again, that puts the service and officers at risk. On resources overall, the inspector says: “We found National Probation Service teams struggling to complete all the new tasks required”. Why? Because of the Transforming Rehabilitation changes themselves, which were putting staff under pressure. The report also says: “Most areas had kept staff numbers in court teams static, but new processes meant that more resources were needed in courts.” In evidence from the front line, we are finding that staff are focused on trying to keep up with the pattern of change, rather than on dealing with the serious issues raised by their work. That is a real worry. Let me give an example. On domestic violence, my hon. Friend the Member for Stretford and Urmston referred to women, and domestic violence and child protection are largely about women. We are now finding that there are insufficient staff to ensure the supervision of courses, particularly building better relationships courses. The Warwickshire and West Mercia community rehabilitation company sent out a letter advising staff that there are insufficient staff to enable courses to be completed properly. It says: “Due to these exceptional circumstances”— that is, the lack of qualified staff— “CRC staff will be returning some cases to court due to insufficient time left on the orders to complete the BBR programme. Where possible, we will suggest the domestic Violence Work book module”. Staff are therefore offered a manual, rather than an actual course to tackle building relationships, which is core to domestic violence cases. The letter basically says that it has not been possible to recruit sufficient staff and sessional tutors. Also on staffing, real concerns have been raised with us about diversity. There needs to be an independent assessment of the allocation of staff with regard to ethnicity and diversity. A couple of surveys done with regard to at least two probation trusts support the view that black and ethnic minority staff are over-represented among the CRCs, as opposed to the NPS. That is not only unfair with regard to the staff, but it impacts on diversity issues in service delivery. Again, that issue must be addressed and it goes beyond what the inspector has said. A whole range of the staffing issues set out in the inspector’s report reflect what front-line staff have told us, even to the point of managers saying: “Several senior probation officers were not clear what appropriate tasks could be allocated to them.” There is also a lack of overall management of some issues in the CRCs and the NPS because management have been diverted to dealing with the change process, rather than the day-to-day management of staff and casework. It is no wonder, therefore, that the inspector comments that, in some CRCs in particular, staff morale is extremely low. The feedback we get from NAPO and its members on the front line is that staff morale is still at rock bottom, and it has not lifted, despite the Secretary of State’s decisions, which he assured us would at least give staff some security about their long-term future. That certainly has not happened. Staff are doing a good job as best they can under intense strain, and I pay tribute to their loyalty, commitment and dedication to the service. It is a tragedy that the Secretary of State has embarked on this venture—this adventure—which will continue to have a negative impact on staff and the service. I hope that the report will lead the Government to give some thought to addressing the issues that the inspector sets out. Perhaps the system needs much more detailed long-term consideration. I argue again that the service should never have been privatised. However, it is totally unacceptable to include in the contracts a poison pill clause to try to prevent a future Government from introducing their own reforms. When the next Government are elected in May, I hope that those clauses will be totally disregarded.",,2015-01-13 00:00:00,John McDonnell,Probation Service
,,2015-01-21 00:00:00,John McDonnell,Homeless Young People
"That is a valid point, which I will try to address when we turn to the specific amendments. I thought there were issues on which we could have had compromise; the main thrust of the first group of amendments is to secure openness, transparency and, most importantly, a consultative decision-making process. I have sat down with each of the petitioners. The whole point of these amendments is the need for consultative engagement by TfL and its subsidiaries when dealing with sites in their areas.",,2015-03-16 00:00:00,John McDonnell,Transport for London Bill [Lords]
"That brings me to the Select Committee’s consideration of the need for a strategy for older people in prison. The Government need to have a greater sense of urgency about developing that and addressing the present issues. If we can expect such a level of problems, we must make sure a strategy for older prisoners is developed. The Government seem to have resisted that, almost semantically, in some respects—it seems that we have policies, but the Government refuse to accept that that is a strategy. I have never been completely sure why. The Howard League for Penal Reform has made its views clear, and they largely reflect my own. Frances Crook says: “Hard-pressed prison staff have to save lives by cutting people down almost every day and without this the death toll would be even higher”. She continues: “It is evident that people are dying as a direct result of the cuts to the number of staff, particularly more experienced staff, in every prison. The government has chosen to allow the prison population to increase whilst it cuts staff, and that has led to an increase in people dying by suicide”. That is the view of the Howard League, and the Prison Officers Association expressed the same view to the Committee. Its concern is that with the reduction in staff numbers, many experienced staff were lost. I understand that the Government are now wisely recruiting staff in significant numbers and, in addition, are putting some of the staff who have gone into a reserve army. That needs to be increased, drawing back in some of the expertise lost as a result of the incoherent policy of laying off so many experienced staff in recent years. The Secretary of State has said that there is no evidence directly linking staff levels to suicides, but sometimes there is a blindingly obvious issue: when people are locked in their cells for long periods, as is now happening, and there is a lack of staff who could take them towards purposeful and creative activity, they can dwell on their problems and that can exacerbate mental health problems. Unfortunately that sometimes leads to suicide. Drug services were covered in the report. The news this week told us that the Ministry of Justice has announced that in the year up to March 2011 there were   3,700 drug seizures, and in 2013-14 the number increased to 4,500. That might be a celebration of the increased efforts being made in prison to police drugs, but it also reflects the prison drugs problem, and the need for greater investment in treatment as well as detection. I am a member of the drugs and alcohol group formed under Lord Ramsbotham’s chairmanship. We met yesterday to consider some recent figures and statistics on drugs, in prison and elsewhere, and investment in treatment. We concur largely with the views of Her Majesty’s chief inspector of prisons, who said: “Prisons continued to focus on recovery working, which was appropriate, usually with active peer support and service user engagement.” However, a quarter of inspected prisons “were not focused enough on the needs of prisoners with alcohol problems”. Furthermore, in relation to drugs in particular: “In a minority of services, recovery working was undermined by enforced reduction or inflexible prescribing”. The report stated: “Prison substance misuse services offered psychosocial support to prisoners and clinical management of opiate substitution therapy. However, full psychosocial support was not available in a quarter of services and prisoners’ needs were not met.” Also: “Clinical management in most prisons was flexible and catered to individual need. However, some options were limited by the refusal of the prison or SMS provider to prescribe buprenorphine, which was contrary to national guidance.” There is thus still inconsistency in services, and the statistics are pretty stark. Sixty-four per cent. of prisoners have reported using drugs, and 22% alcohol, and “90% of adult prisoners had at least one of the following five mental health or behavioural disorders (personality disorder; psychosis, neurosis, and alcohol misuse and drug dependence).” Fourteen per cent. of prisoners in England and Wales said that they developed a substance misuse problem in prison, and 31% said that “illegal drugs are easy or very easy to access in their prison”. It just goes on and on. A particular concern raised in recent evidence to the Committee related to what are described as legal highs. Specifically, “Spice” and “Black Mamba” were cited as cause for concern; 37% of the adult male establishments inspected, and particularly local prisons and category D jails, had a specific problem with those drugs. Detection of drugs in prison has increased, as I mentioned, and the figures this week are significantly improved, but the overall issue continues. As to alcohol, 17% of prisoners in England and Wales say that it is very easy to obtain in prison, and there has been an 84% increase in the number of prisoners who have been returned to closed prisons in the past three years because of drugs or alcohol. One in four absconders from prison who were still unlawfully at large had been convicted for a drug offence. The issue is what is happening to prevent people from entering the prison system as a result of drug or mental health problems, and what support there is for them if they do enter it. The cross-party drug and alcohol group has been working with DrugScope. In a recent report, it identified the problem of the increased purity of some drugs now available, and the price drop, which has increased the crisis on the streets. We face the possibility, as a result, of a significant increase in the number of people coming into the criminal justice system and prison with drugs problems. Some of the reforms in drug service provision inside and outside prison have contributed to that. DrugScope has conducted a survey, to be published in a few weeks, on funding changes. It surveyed organisations that it works with, and 60% of them reported a decrease in funding. Even in the residential sector the figure was 11%. As to workers in the field, supporting people who want to come off drugs, 53% of the organisations reported a significant increase in the caseload per worker. I worry that if services are not provided in the community now, more and more people who come into the criminal justice system will have drug problems. Already we are struggling to cope with drugs in prison. The latest statistics show that in the past year, in the overall drug-using population, there has been a 32% increase in deaths. Is that because of cuts in services or the increased purity of the drugs, which are more dangerous? A balanced view might suggest a combination of the two. That is extremely worrying, because that increased purity of drugs on the streets will eventually seep into prisons. If the number of prisoners in the system who are dependent on drugs or have drug problems worsens, and the drugs coming into prisons are of a kind that reflects what is happening on the streets, and if we do not plan to deal with that issue, the deaths in custody statistics will significantly increase. I should welcome a dialogue between Select Committee members and the Minister about how the issue is to be tackled. In addition to the Government’s response to the report, I would welcome a response to the Committee regarding the latest suicide figures, the death figures and the DrugScope report, which will be available in the next few weeks, about the increasing problem of drugs on the streets, which will inevitably impact on those within the criminal justice system. I am worried about what is happening in our prisons. When we raised the number of suicides previously with the Minister, naturally the response was that any death in our prisons is a matter of concern. I understand what was said in paragraph 63 about politicians’ language—it is important that we ensure that we use appropriate language and moderate our language when dealing with something so sensitive—but on this scale it is no exaggeration to say that we have a crisis on our hands with regard to the number of suicides. Emergency action is needed, and if that means a significant increase in staff in certain prisons, a review of our mental health services, and a review of and greater investment in our drug support services, we need to do it whatever the cost at the moment. The number of lives being lost is unacceptable in what we seek to portray as our civilised system of criminal justice.",,2015-01-22 00:00:00,John McDonnell,Crime Reduction Policies
"I would like the Secretary of State to clarify the maths on this. Some £1.5 billion has been cut from the Northern Ireland budget since 2011 to assist the UK Government in reducing borrowing and tackling the deficit, yet the solution now being put forward is to ask Northern Ireland to increase its borrowing by £500 million. Is that not simply inflicting a high burden of cost on the residents of Northern Ireland?",,2014-12-15 00:00:00,John McDonnell,Northern Ireland (All-party Talks)
"I fully agree with my hon. Friend. A question was put to prison officers in a survey, and 75% indicated that working after 60 would very much or significantly impair their job performance. The prison officers do not think that they can do their job effectively after the age of 60. I have to say that sometimes we just have to listen to the people who do the job. I had some discussions with prison officers and a number of them agreed with the view that they were being asked to do an impossible job. They said that they were being put under unacceptable further pressure and   that the Government needed to look again at the issue of pension age and at why this uniformed service was discriminated against in comparison with the others. Let me suggest a way forward. We received research commissioned by the POA but undertaken independently by the university of Bedfordshire, and there is also the Prison Service’s own survey. Particularly concerning are the differences between the scores highlighted for members of the Prison Service in comparison with others in the civil service. There were large discrepancies between how people felt about their job and how they were being treated. Let me cite an example. When it came to recommending Her Majesty’s Prison Service as a great place to work, only 21% were positive. In the area on “my work” there was a score of minus 15% in comparison with the civil service survey and from high performers the score was minus 18%. On “my manager”, it  was minus 24%; and on “resources and workload”  it was minus 19%—and so it goes on. When it came to discrimination, bullying and harassment, 19% said that they had experienced discrimination at work over the past 12 months, while 18% had experienced the bullying or harassment themselves. Even in the National Offender Management Service survey, some of the figures are somewhat worrying. The overall evidence from the university of Bedfordshire and even from the Government’s own survey shows clearly that we need another way forward. First, we need an urgent meeting between the justice unions parliamentary group and the Minister to discuss the research and to establish how to develop support for staff and tackle some of the identified issues of work-related stress. Secondly, in light of this research, I urge the Government to look again at the pension age of prison officers. If necessary, they should commission further research if the current research is not satisfactory. If we need a more detailed examination of forcing prison officers to work until they are 68, I would welcome the opportunity at least to engage in a further review of that decision, backed up by further research. The third issue is about staffing. I know that the Minister will report that new staff are being recruited. I hope that that happens as quickly as possible and that we can get them trained and into our prisons. We have, however, lost a lot of experienced trained staff as a result of the cuts. As a consequence, I believe that our prisons are now not only less safe, but are not fulfilling the role of rehabilitation that we want them to fulfil. Thus, for now and the future, lessons need to be learned from the staffing cuts that we have seen. I am convinced that we will have a constructive response from the Minister to the idea of having a meeting and working on these issues together to resolve what I find to be an extremely worrying situation.",,2014-12-10 00:00:00,John McDonnell,Prison Officers (Work-related Stress)
"I am the secretary of the Fire Brigades Union parliamentary group. Firefighters expect the House to rise to the occasion. This is not a party political issue. In 2006, when the previous Government introduced the new pension scheme with later retirement at 60, I opposed it, but at that time all those in the old pension scheme were given a guarantee and an assurance that they would remain in that scheme and it would be protected. Those coming into the new scheme were told that if there was a problem with regard to their fitness, there would be alternative jobs for them. Those alternative jobs did not exist. We identified only 15 over that whole period. Since then we have lost 5,000 firefighter posts. In addition, the alternative jobs that existed have been reclassified from grey book to green book, which means cuts in pay. The firefighters therefore feel betrayed. They were given assurances, they signed up to the scheme, they entered a pension scheme as a legal agreement, they paid their contributions, and now they are seeing their pension put at risk, even those in the new scheme. All they are asking for is for the House to rise to the occasion tonight, revoke the regulations and allow negotiations to take place. Negotiations have worked in all the other countries in the UK; they can work here as well. Our firefighters are anxious, first, that, as has been reported, they will lose about 21% of their pension entitlement. Secondly, the assurances that the guidelines will be put on a statutory footing simply mean that fire authorities must have regard to those guidelines; they will not be enforced on those authorities. That means that firefighters could, if they are not fit enough, lose their job and at the same time have their pensions cut considerably. That is what they are fearful of, and we would all be fearful of that, wouldn’t we? The other issue that firefighters have brought up is the fitness standards they have to meet. If they cannot meet them, they are forced into that situation. They will therefore not be providing the level of service needed to   keep our people safe. I urge Members to support the motion. This is not a party political debate. Vote tonight to enable the Government to have time to come back and negotiate a settlement. A few years ago there was a peak in the number of firefighters who died protecting our country. I met their families. We have a duty of honour to the firefighters to protect them tonight, just as they protect our community.",2017-05-01 18:10:00,2014-12-15 00:00:00,John McDonnell,Firefighters’ Pension Scheme (England)
"My hon. Friend refers to the crisis in our prisons, which is a consistent theme coming out not just from this survey but from all the discussions that have taken place, including the representations we have received from both prison officers and former governors. A total of 49% of prison officers said that they receive intimidation and threats from prisoners often and regularly, and 30% had been assaulted with more than half of those having to take time off as a result. On the level of management support, 70% said there was little support from management. There is one quote from a prison officer that I found particularly startling: “I have seen active service whilst in the army, but I have never felt as vulnerable and threatened as I do in my current role.” On stress, one third reported that their doctor had diagnosed them with stress-related illness—a clinical diagnosis of stress—since working for their current employer. It was also felt that there was a stigma attached to disclosing stress, and that it could make a prison officer subject to discrimination. That is extremely worrying. The survey included a general health questionnaire that is used to assess aspects of psychological health and somatic symptoms, such as feeling run down or suffering from headaches, anxiety and insomnia, social dysfunction—not being able to enjoy everyday life, or not being able to make decisions—and depression, where   people felt that life was hopeless. I was shocked by the figures. Six out of 10 reported that they were under strain. The worst figure was that one in 10 reported that sometimes life was just not worth living. The researchers who undertook the survey are experts in this field. They said that there were unusually high levels of psychological distress and that a high proportion required some degree of intervention to improve their well-being. Another issue considered was emotional exhaustion— the concept of burn-out. This was extremely high, with 74% saying that they felt emotionally drained at work  at least once a week. Some of that related to physical health, with 18% reporting chronic health problems. Hypertension is the most common problem. The survey also included questions about work-life balance, which is one of the psychosocial issues that comes up when assessing one’s enjoyment of work and career. Eight out of 10 responded that their time at work stopped them participating in family life, and six out of 10 frequently felt too emotionally drained to participate in family life. They were asked a question that is fairly common in such surveys: whether they dwelt on work problems outside of work. Some 70% said they could not switch off, while 50% were troubled by work-related issues when not at work. On job satisfaction, six out of 10 had considered leaving the Prison Service in the near future, and seven out of 10 said that if they could choose again they would choose a different job. What conclusions can be drawn from this? First, it is blindingly obvious from the survey that psychosocial working conditions are far from satisfactory. None of the Health and Safety Executive’s objective benchmarks has been met. The researchers said that the psychological stress levels for this group of workers were far higher than in other emotionally demanding occupations, including police and social workers, with reports of anxiety, sleep disruption, cognitive failure including memory loss and, most worryingly, the one in 10 who felt that life was not worth living. The researchers said that there is an urgent need for employment bodies to take steps to protect the psychological well-being of their staff. Some of these issues have to be addressed urgently. Like other Members, I have talked to POA members, front-line staff and representatives, and the same story comes up time and again. Staffing cuts have placed the service in crisis, and the staff and the prisoners they look after are suffering. My hon. Friend the Member for Wansbeck (Ian Lavery) mentioned the number of assaults. Nine members of staff are assaulted every day—up 9.4% recently—which is 3,400 a year, while the number of serious assaults is up 36%. Last year, we published a report on prison violence. It was circulated to hon. Members, but I will place it again in the Library. It was a shocking report, and I make no apologies for insisting that pictures of assault victims be published as well, because they are absolutely horrendous. Nobody should have to experience or risk that on a daily basis in their working lives. As we know, the number of prison suicides has increased by 69%. It is a tragedy for the prisoner and their families, but it also has an impact on other prisoners and the staff who have to handle and deal with the suicide. All the evidence suggests that it can be devastating for the members of staff, and there is evidence of post-traumatic stress disorder among staff who have to deal with suicides. I return to the conclusion that many have reached, which is that much of this is related to staffing cuts. I have asked for the figures provided by the Prison Service to the Prison Service Pay Review Body, because I thought that they would be the most accurate. There has been a cut in staff numbers from 51,212 to 37,218 in the past four years—a cut of 27.3%. In the prison officer grades, there has been a cut from 25,553 to 18,934 members of staff—a 25.9% cut. I know that various figures are bandied about—the Minister and others have presented us with various figures—but whatever the exact figures, the scale of the cuts has been acknowledged overall. As I said in the Justice Committee, I think the Government miscalculated the prison population and cut too many staff, and I am told that they are now recruiting up to 1,700 officers—almost in a panic measure—and trying to recruit the 800 staff laid off in the last year into a reserve army to be used almost on an agency basis. As a result of the staff cuts, as the right hon. Member for Dwyfor Meirionnydd (Mr Llwyd) said, there has been a significant increase in the staff to prisoner ratio from 1:2.9 in 2010 to 1:3.8. Overall, that means we have fewer members of staff looking after more offenders. Staffing numbers are an issue, but staffing support also matters. The Minister has a responsibility—well, we all have a responsibility—to build sufficient staff resource into the system to address the stress and psychological well-being issues identified in the report. I have heard reports of what is available to staff now, but there seems to be a significant lack of confidence in the facilities available and in the management support given to staff. The POA and prison officers generally have also raised the issue of the retirement age. Prison officers now face having to work until they are 68. When he reported on public sector pensions provision, Lord Hutton recommended that exceptions be made to the overall increase in pension age for uniformed services, where “the Normal Pension Age should be set to reflect the unique characteristics of the work involved. The Government should consider setting a…Normal Pension Age of 60 across the uniformed…services…and keep this under…review.” Unfortunately, the only uniformed services identified were the police, armed forces and firefighters. For some reason I have yet to discover, prison officers were not included, even though they are a uniformed service and even though, as we see from the research, they are suffering from greater stress and psychological problems arising from their work load—more than the police or social workers.",,2014-12-10 00:00:00,John McDonnell,Prison Officers (Work-related Stress)
"I agree. May I remark on the success of this campaign so far? It started way back in April, when concerns were being expressed by members of staff at Kew through their trade unions—PCS and Prospect, among others. As the hon. Member for Richmond Park said, we delivered a petition of more than 100,000 names. Unfortunately, we were unable to take the wheelbarrow containing the petition up to No.10, but we took the petition itself. The campaign built up a head of steam. We held a public meeting down at Kew; there were at least 200 people there, who were incredibly enthusiastic about the campaign. That effort secured £1.5 million, which the Deputy Prime Minister announced and which was very welcome, and we have received £2.3 million today. If we keep on talking, we will be up to the £5 million needed to cover the gap identified some months ago. I am grateful for the new money but there is a long-term problem, mentioned by the hon. Member for Richmond Park: we need stability now. We cannot keep on going through these ups and downs of budgeting, in which one month a £5 million gap is found and then the Government come up with the occasional £1 million in the short term. What we are looking for is a long-term consistent plan. The difficulty at the moment is about the funding of Kew itself. I have been looking through the figures, as set out in the House of Commons Library briefing. If we look at the funding in recent years, to be frank we see that the money has been ricocheting around, and up and down, in that time. There is the Department for Environment, Food and Rural Affairs operational budget. In 2007-08, it was £17.6 million; it went up to £19.85 million in 2008-09; then it went down in 2009-10 to £17.65 million; and it is now down to £14.4 million. Again, the message that comes across from managers, trustees and others is the inconsistency and unreliability of the funding, which means that they are unable to plan from one year to the next because many of the decisions about the funding of Kew are made quite late in the year. Consequently, the management find it almost impossible to plan. The money I have mentioned is the core operational funding, which pays for staffing. In addition, if we look at the capital budget, which also comes from DEFRA, we see that in 2007-08 it was £7.6 million; it went up in 2012-13 to £17 million; and it is now back down to £13.6 million, but that includes some elements that take into account redundancy costs and other costs. Again, even on the basic infrastructure costs, let alone the staffing, the inability to plan for the long term is affecting the efficient management of the organisation itself. Kew has done all it can to raise its own funds. We can see from the trust itself the operations that it has undertaken, including the charitable work that has taken place and the charitable donations that have been made. In addition, the hon. Member for Richmond Park and I   met Marcus Agius, the chair of the trustees at Kew, who set out for us the discussions that had been taking place about the restructuring, which aims to secure additional funds. However, at the end of the day that was overridden—well, the backdrop to all this was the reduction in core income. So even though the restructuring is there to ensure that there is enhanced income, particularly with regard to the scientific work, it is still based on an overall cut in expenditure from DEFRA itself. Again, part of the problem is that the income comes from DEFRA, whereas the work that Kew does actually spans a range of different Departments. Kew plays an important educational and scientific role. A range of aspects of its work could properly be funded by other Departments, particularly its work in the developing world. However, it relies on DEFRA; unfortunately, DEFRA’s budget has been cut in recent years, meaning that the cuts have followed through to Kew. There is volatility about the whole funding process, both in terms of DEFRA’s funding and Kew’s ability to secure funds from elsewhere. That means there is lack of clarity about the future of funding and an inability to plan and invest in Kew’s long-term future. As the hon. Member for Richmond Park said, the tragedy is that this year there have been significant cuts: 125 posts have been cut, with 65 staff having already gone, and there is now a group of staff in 51 posts who, although there are 42 vacancies, are declared surplus. Although it is possible that they will able to compete for some of the 42 vacancies, not all the vacant posts are suitable alternatives for those staff. Kew’s expertise is described as a mosaic of individuals with their own individual expertise in small teams. In recent years, that expertise has been whittled down. For example, the voluntary redundancy scheme has meant that, in certain areas of activity, the expertise has either been reduced significantly or lost altogether. I shall give some examples that have been provided to explain the situation to us. Expertise in legumes, one of the world’s economically important plant families, has now almost entirely gone and expertise in pollen has almost gone, with implications for health, forensics, conservation and the study of pollen in the archaeological and geological contexts. Capacity in many other areas has also been reduced, meaning that potential skills shortages are being faced in a number of areas. Kew relies on some world-renowned experts in these particular fields. It is absolutely admirable that a large number of staff who have retired or gone from Kew as a result of voluntary redundancy have come back voluntarily and are now offering their expertise as volunteers. What greater commitment can be demonstrated than that? In addition, there is concern that the gap in funding from DEFRA is having an impact as Kew desperately tries to seek funding from elsewhere. The entrance fee for Kew is £15 and there is now a discussion about whether children should be charged. For my constituency, Kew has become an oasis of calm within west London—particularly for families, who visit and enjoy it. Any further increase in fees will, unfortunately, deter many people from visiting Kew and there will be a self-fulfilling prophecy of decline as a result. More importantly, at the moment Kew offers the opportunity for all families to be able to visit. Any increase in prices will deter those least able to afford it and possibly those   who need it the most in terms of being able to break away from the duress of their everyday lives. There are other concerns. Yes, of course fundraising activities have to take place at Kew, but there has to be a balance as well. We do not want Kew turning into a base for funfairs and other activities that crowd out the environmental enjoyment of the park itself. I have listed the range of issues put to us in the various public meetings that we have had. There is real concern that unless we get some agreement on stable funding over the longer-term period—the next five to 10 years in particular—the additional money that came in September and the additional money today, which of course is welcome, will tide us over perhaps for another 18 months and then we will be back to square one. In the meantime, we will have lost expert staff and—pardon the pun—their expertise does not grow on trees. These people have been trained throughout their lives and have dedicated their lives to Kew. Their expertise must not be lost. Although Kew got some investment from the significant funds that other institutions gained—particularly the museums, with free access and investment over a longer period—because of its link to DEFRA in particular it never gained the scale of funding needed to tackle its long-term issues of physical infrastructure and the long-term financing of its staffing and research, particularly its scientific research capacity. Many people feel that, as a result, Kew has been discriminated against and that now is the time to stand back and look at where we go from here. The triennial review is coming up in the new year—the scientific review is coming back to us as well—and that will give us some opportunity to look at the long-term role of Kew, but that must be linked to a long-term financial and investment plan. If that means looking at DEFRA’s or other Departments’ budgets, that discussion needs to go on within the Government. I have a specific request for the Minister to take away with him. Kew management are desperately keen to work closely with the Government. There has been some close liaison between Kew management, the trustees and the Government in trying to look at a long-term financial plan for Kew, but we are nowhere near securing a sufficient deal on that. My request is that the Minister should go back to his Department and convene a meeting with all interested parties—all the stakeholders—including the Friends of Kew, the relevant local MPs, trustees, the management of Kew and the trade unions. In that way, we can get absolute clarity on the current financial position and the Government’s plans for the long-term future of Kew. We cannot have the budget ricocheting around as it has done in recent years. A long-term, stable funding plan for Kew needs to be agreed between the Government and all parties. I ask the Minister to get everyone around the table in the coming months. The £2.3 million on top of the £1.5 million has given us the breathing space to consider long-term staffing needs and examine a long-term plan, based on the restructuring that has taken place so far, in respect of the ambitions of Kew. When we met the chair of the trustees, he outlined the work that had gone on: the development of a scientific vision; the way in which work force activities, in individual silos at the moment, were being broken   down; the co-operation across areas of expertise; and the introduction of a better career development plan for the staff. However, at the end that was all clouded by the reduction in the core income. Unfortunately, I think that the plans that Kew is putting forward will hit the financial rocks—perhaps not in the next 18 months, now that we have the additional money, but after those 18 months, unless we have a clear commitment from the Government. We need to address the issue on a cross-party basis. Bearing in mind its international and global scientific role, Kew’s budget and long-term planning cannot be dependent on changes in Government. I would welcome the opportunity for all stakeholders to come together and for a cross-party agreement on the long-term financing of Kew, agreeing a base budget from which the fundraising activities could be developed as well as some of the scientific project work, to bring in additional funds. There should be solid agreement between parties and all stakeholders on a long-term financial plan for Kew. I turn to the current staff difficulties. Following the £2.3 million announced today and the £1.5 million announced earlier, the message to the management now should be to hold off any further redundancies and cutbacks because there is real anxiety about the loss of expertise as a result of the cuts and the voluntary redundancies that have already taken place. It is important that the message to management is that they hold on to what staff and expertise they have until there is a much better and deeper discussion about Kew’s long-term future. I hope tomorrow’s Select Committee visit will produce a report that gives us some indication of what the Committee sees as Kew’s long-term future. The evidence that has already been provided emphasises Kew’s scientific role and the importance of holding on to Kew’s solid bedrock of scientists. However, those presenting evidence tomorrow will present ideas about how to establish a long-term budget. There is a spirit of co-operation between all the stakeholders now, and the Government should seize that opportunity. As I say, I hope that is done on a cross-party basis. As a friend of Kew, I know that many of us have enjoyed the gardens over the years. Kew is a world heritage site and a beautiful park. Underlying all that, however, is the magnificent role that Kew plays in scientific research. If we do not address Kew’s needs now and seize this opportunity to secure its long-term future, many of us will feel extremely guilty in years to come when it is degraded as a result of waves of cuts and the instability of its funding base. I hope the Minister will agree to meet us all and to bring all stakeholders together. We can create a long-term plan for Kew. In that way, we will not need to have another Adjournment debate in a few months’ time. Indeed, every time we go for an early-day motion or an Adjournment debate, it produces an extra couple of million pounds, so, in the long run, it would be cheaper for the Minister to bring us all together.",,2014-12-16 00:00:00,John McDonnell,Kew Gardens
"The point that we were trying to make is that Kew has missed out on other opportunities. Even though it plays a role as a heritage centre, it comes under the Department for Environment, Food and Rural Affairs and so it did not gain additional money from the Department for Culture, Media and Sport that others, museums in particular, received. Even though it plays a key education role, it did not gain the protection of the education budget. It was the same with regard to the Department for International Development. As Kew is funded directly by DEFRA, it has missed out on all those other funding opportunities over the past 15 to  17 years.",,2014-12-16 00:00:00,John McDonnell,Kew Gardens
"I declare an interest as a member of the Friends of Kew. I congratulate the hon. Member for Richmond Park (Zac Goldsmith), who has been campaigning so hard on this particular issue—not just as a constituency matter, but as a genuine commitment to the work that Kew undertakes. I will echo some of the expressions that the hon. Gentleman used. If Members look at the correspondence received by the House of Commons Science and Technology Committee for its hearing tomorrow, they will see that it sets out in significant detail the role that Kew has played. There are more PhDs per square inch in this correspondence than in any other Select Committee correspondence I have seen, which reflects the intensity of the scientific debate about the future of Kew, and that debate is absolutely fascinating. I am not completely sure what “Angiosperm Phylogeny (Group 3)” is all about, but the reference to it demonstrates the breadth of the work that goes on at Kew and confirms what has been already said about Kew—namely, that it is a world leader in scientific research. I also say that for any west London MP, for any London MP and for many other MPs beyond London, Kew gardens are themselves a world heritage site. In addition, Kew is a park enjoyed by literally millions of people. Many of our constituents enjoy it as one of the most important open spaces in west London.",2017-05-01 14:53:00,2014-12-16 00:00:00,John McDonnell,Kew Gardens
