debate,time,date,text,mp
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"The hon. Gentleman seems to have great influence with TfL, so will he also take up the cause of Caledonian Road tube station, which is going to be closed for six months so that a lift can be renewed? I do not understand why the whole station has to be closed for sixth months, because there are four lift shafts—it is incomprehensible. I have written to TfL about it but do not seem to be getting very sensible replies. I wonder whether he might take up that cause as well.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"The partnership might be overseen when first established, but will there be anything to stop the identity of those in control of the other partnerships changing at a later stage and our not having control over that?",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,Will the hon. Gentleman give way?,Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,Is there anything specific in the Bill that would stop the control of a partnership moving from one organisation or individual to another and ensure that at that point there was some form of oversight that would stop a transfer of control?,Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,Will the hon. Gentleman give way?,Emily Thornberry
Transport for London Bill [Lords]: Revival,2017-05-01 20:26:00,2015-11-16 00:00:00,"I am concerned about clause 5, in particular, and the idea of limited liability partnerships. As I understand it, limited liability partnerships were established in 1907 to enable people to become partners without taking on the liability. There needs to be a general partner who will be liable for everything, but then those who are coming into the partnership, and perhaps giving money towards it, would not have any form of liability. I understand that it is a means of raising capital, but I am very worried about who the partners might be. We have heard all kinds of scare stories, and I would be very interested to hear some reassurance.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"I believe that that is exactly the position. This legal instrument was created in order to help to raise money. However, the difficulty is that we will be raising money on public land—public for the moment, at least. That is land owned by you, Madam Deputy Speaker, by me and by all of us, and we will be handing over some sort of investment in it to organisations that are cloudy, to say the least. Is there anything to stop these partners being offshore companies or being able to establish themselves with £2-worth of capital? Is there anything to stop documents naming certain people as responsible for the company, only for the Russian mafia to take over at a later stage? Are we handing over Caledonian Road, Old Street and potential developments in my constituency to such people? I certainly hope not, but I am worried that this Bill’s revival may allow that to happen.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"I genuinely think so, because, as the hon. Member for Harrow East (Bob Blackman) has said, we are talking about large swathes of publicly owned land in the centre of our capital. My constituency has the least amount of green space of any in the entire country, and all our brownfield sites need to be looked at very carefully in order to maximise housing. I agree with the hon. Gentleman on the need for housing, but frankly we do not need developments such as that currently taking place on our canal, where a one-bedroom flat is being sold for £826,000. That is not affordable housing for anyone who lives in Islington. We need real affordable housing, but the Bill does not seem to have any control over that.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"I have to say that Islington residents who are on what could be seen as high incomes are very concerned about their children, as are those who are on middle and low incomes. How will children who were born in Islington remain in Islington, given the price of housing? The Mayor of London’s answer has been to redefine affordable housing. It is a little like getting rid of child poverty by taking income out of the definition.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"The point is this: once the land is gone, it is gone for ever. Once these luxury flats are built, Islington residents will never have a chance of being able to afford to buy them, and if no social housing or real affordable housing is built in inner London, that will be it. We need to defend very carefully the land available. The Mayor of London has decided that affordable housing equates to 80% of market rent. That would be a laugh if it were not so tragic. It is like newspeak in “Nineteen Eighty-Four” and someone saying, “Say black is white and say it for long enough, and hopefully some fools will start to believe it.” In Islington, 80% of market rent is not affordable housing. I read with alarm what was said in the  Financial Times  about housing. Transport for London is talking about affordable housing in the constituency of the hon. Member for Harrow East in outer London, but not in inner London. There are 21,000 people on the waiting list for housing in Islington. Does this Bill answer any of their problems?",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"The hon. Gentleman makes a very important point. It brings us back to another rumour, which is that £700 million will be taken away from Transport for London in the comprehensive spending review and Transport for London is therefore even more   in desperate need of a fire sale of our land to subsidise fares. London is the greatest capital in the world, and we need a proper transport system that is appropriate and helps our city to continue to be the lifeblood of this country. It seems to me to be short-sighted to the greatest extent to take away subsidy from Transport for London, because our city will grind to a halt. Once we have sold off that land and the opportunity for my constituents to live in affordable housing has gone, for the sake of their having cheaper fares for a year or two, what do we do then, having sold off the family silver in the way that is being suggested?",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"All of us have probably been down the river and seen all the developments that are happening. Members should look for how many flats have lights on at night, because if they do not, people are not living there. It is simply that somebody in Singapore can either invest a bag of gold or they can think, “No. Let’s buy a flat in south London, on the river with a lovely view. There will be someone to look after it. We can invest in that and keep it empty for years or decades.” Those empty flats are laughing at my constituents, who are in desperate need of proper housing. It seems to me that this opportunity is being frittered away.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"My hon. Friend makes an important point. Essentially, the sponsor of the Bill and TfL are saying, “Trust us. Let us enter into limited partnerships with who knows who.” TfL wants to enter into a limited partnership, which is not a distinct legal entity, which has a clear consequence for public transparency. For example, we cannot use the Freedom of Information Act to find out who is behind the partnerships that TfL may get into. TfL says, “Don’t worry about it. We can be trusted.” The difficulty is that TfL’s behaviour during the past few years, with some of the developments we know about, shows that we cannot in fact trust it. Caledonian Road is not a frivolous example. As the hon. Member for Harrow East said, it is one of the few tube stations that has disabled access that is available to the large number of people who go to watch the highly   successful Arsenal football club, but it will be closed for six months. What about Arsenal fans in wheelchairs during that time? TfL cannot look after a tube station with four shafts. It tells me that it needs to close it for six months to renew one of the lift shafts; yet it has two functioning lifts at the moment, both of which it will stop. I said, “The lift capacity is only 50%, so just use one lift while you are repairing the other one.” It replied, “Oh, but what happens if the lift that is in use breaks down?” I said, “Well, excuse me, TfL, but you’ve got lift engineers on site. You are re-doing the other lift shafts, so what’s your problem?” If TfL has difficulty running a tube station, I have some concerns about its ability as a property developer, particularly if it goes into partnership with others. Those people may be perfectly adequate. TfL may go into partnership with a latter-day Peabody. That would be fantastic, would it not? It would be great if it went into partnership with somebody who really wanted to provide housing that was entirely appropriate for my constituents. The difficulty is that I do not really believe that, and I do not think that the hon. Member for Harrow East does either. TfL is trying to make as much money as it possibly can out of that land, and it will make as much money from affordable housing as it will from luxury flats.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"My concern is that we will be the partner who takes unlimited risks. My constituents will not get what they need, but their public assets will have been subject to a fire sale and they will be taking the risk.",Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,It is as though the risk is being nationalised and the profit privatised. That is what is happening for the sake of George Osborne being able to balance the books in the CSR.,Emily Thornberry
Transport for London Bill [Lords]: Revival,,2015-11-16 00:00:00,"Many questions need to be asked about the status of the partners that TfL will be able to join in partnership. Will they be offshore? Will they pay taxes here? Will they be able to move the control of the partnerships from one party to another without the   public—it is our land—being able to stop it? One hears many scary stories, such as money from Moldova being laundered through Scotland—all sorts of extraordinary things go on under these instruments—and my concern is that the limited partners are liable only for the value of any investment they make and do not need to be involved in the management of the partnership. They put their money in, that is the extent of their liability, and we do not know what sort of profits they will then be able to make and we do not know whether they will pay any tax in this country. Those questions need to be asked before we revive this Bill.",Emily Thornberry
Welfare Reform and Work Bill,,2015-10-27 00:00:00,"The point is simply this: the hon. Gentleman may be right, so will he support our call for an independent review of sanctions across the country, so we can see where there is good practice and where there is bad practice?",Emily Thornberry
Welfare Reform and Work Bill,,2015-10-27 00:00:00,Will the hon. Lady give way?,Emily Thornberry
Welfare Reform and Work Bill,,2015-10-27 00:00:00,A snapshot of today’s jobs market would also reveal that 3 million people in this country identify as being underemployed. They are not working enough hours to be able to support their family.,Emily Thornberry
Welfare Reform and Work Bill,,2015-10-27 00:00:00,Will the hon. Lady give way?,Emily Thornberry
Welfare Reform and Work Bill,,2015-10-27 00:00:00,Will the hon. Lady give way?,Emily Thornberry
Welfare Reform and Work Bill,,2015-10-27 00:00:00,"I pointed this out to the hon. Lady in Committee, but I am grateful to have the opportunity to point it out to her again. If someone had a median income in central London, they would be on benefits, because it is accepted that people cannot live on £26,000 in central London and pay their rent.",Emily Thornberry
Junior Doctors’ Contracts,,2015-10-28 00:00:00,"My hon. Friend makes a very powerful speech. I bring her back to an earlier point which needs emphasising. At the moment trusts have to provide rosters that are not only fair but safe, so that junior doctors get time off. Now it seems that trusts will no longer have to pay attention to those rules and will no longer be fined if they do not follow them.",Emily Thornberry
Junior Doctors’ Contracts,,2015-10-28 00:00:00,Will the Secretary of State give way?,Emily Thornberry
Junior Doctors’ Contracts,,2015-10-28 00:00:00,Is the right hon. Gentleman going to continue with his plan to change the rules so that trusts that insist on doctors working unsafe hours can no longer be fined for doing so? It will help if he can assure us that those rules will continue and trusts will be fined if they break them.,Emily Thornberry
Temporary Accommodation,,2015-11-02 00:00:00,"The Tory-Liberal Democrat Government tried to cut housing benefit some nine times. Since May, the Government have been trying again. All this has achieved is a massive increase in the number of homeless families in temporary accommodation, the largest housing benefit bill we have ever seen, and huge amounts of discretionary housing payments being given to local authorities. I am sure that it has occurred to the Minister—he is an intelligent man—that the answer is to build more real affordable housing. Would he like to have a quiet word with the Department responsible and ask it to pull the Housing and Planning Bill, because it will simply result in the sell-off of more and more affordable social housing?",Emily Thornberry
Topical Questions,,2015-11-02 00:00:00,"Given the considerable disquiet in the country about cuts to tax credits, not to mention the alarm on the Secretary of State’s side of the House, where 20 of his own MPs have said that the Government are in danger of cutting a lifeline to working families, does he now regret describing tax credits as a “bribe”?",Emily Thornberry
Housing and Planning Bill,,2015-11-02 00:00:00,rose—,Emily Thornberry
Housing and Planning Bill,,2015-11-02 00:00:00,rose —,Emily Thornberry
Housing and Planning Bill,,2015-11-02 00:00:00,"On a point of order, Mr Speaker.",Emily Thornberry
Housing and Planning Bill,,2015-11-02 00:00:00,"The point of order is this, Mr Speaker. The Secretary of State speaks again and again about the Bill’s importance in relation to London, but will not take any interventions from any London Members on the Opposition Benches.",Emily Thornberry
Housing and Planning Bill,,2015-11-02 00:00:00,To London Members?,Emily Thornberry
Welfare Reform and Work Bill (Tenth sitting),,2015-10-15 00:00:00,"I would be happy to take the Minister around Islington, where, I can assure him, the social rent levels are very much lower than private rent levels and the private rents are going up enormously. In my borough, we have great problems finding accommodation for people in the private rented sector if we cannot provide sufficient housing for them in the social rented sector, which we cannot. Our concern is that everything that the Government are currently doing is undermining the social rented sector and will, in the end, lead to a bigger benefit bill.",Emily Thornberry
Welfare Reform and Work Bill (Tenth sitting),,2015-10-15 00:00:00,Will the Minister give way?,Emily Thornberry
Individual Electoral Registration,,2015-10-20 00:00:00,"It is a pleasure to have the opportunity to intervene in the debate. I compliment my hon. Friend; he was an excellent agent in Islington South in 2005 and has been an even better MP since for Wales. Is it not right that we should all be democrats? We should all be trying to work to ensure that as many people as possible exercise their democratic right to vote. It is extraordinary, is it not, that the Government seem to be putting barriers in the way of people being on the register in order to exercise the power they should have simply because they are citizens?",Emily Thornberry
Individual Electoral Registration,,2015-10-20 00:00:00,"I am listening carefully to the hon. Gentleman. The problem that I have is that because of his fear of patriarchy, he is saying that individual people should grasp their right to vote. That is putting the whole thing on its head. It should be everyone’s right to vote. It seems obvious to me that the state should ensure that people have the right to vote; it is then for the individual to decide whether they want to.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"I beg to move, That the clause be read a Second time. Like housing, the cost of childcare has weaved its way through these debates, as we have considered a Bill that places significant new burdens on working families with children. The rising cost of childcare is not a new phenomenon, but it has certainly made life more difficult in recent years for working parents, who have seen their incomes largely flatline, whereas the cost of childcare has been going up. According to figures compiled by the Family and Childcare Trust, the costs for preschool children have increased by 20% in real terms over the past decade. Between 2007 and 2013, the proportion of families who said that they found it either difficult or very difficult to pay for childcare increased from 18% to 26%. In the past five years, as prices have continued to outstrip wages, the trend has worsened to the point where the average family will pay an additional £1,500 a year in nursery fees compared with what they paid in 2010. The impact on families with the lowest incomes, regardless of whether they work, has been particularly alarming. Children living with parents who have to pay for childcare are now a third more likely to live in poverty once those costs have been taken into account. The Bill, which attempts to redefine poverty by focusing on whether anyone in a household works, instead of on how much working households can earn, will effectively ignore the problem. That does not make it any less real, however, for real families in the real world, and it should not blind the Committee to the fact that there is a lack of consistency in the Government’s approach, which seeks to impose strict requirements on parents to support themselves solely through work while providing less and less support to cover the costs of the childcare that would make work an option. It is significant in that context that 41% of parents who responded to a survey carried out by Citizens Advice last year said that the cost of childcare either prevented them from working at all, or, if they already worked, prevented them from increasing their hours. That will not be helped by a promise to increase the   number of hours of childcare available, as long as the promise simply remains a promise and is, frankly, no more than an unfunded commitment. We have discussed that commitment at length during previous debates in this Committee and the fact that the Childcare Bill, which is currently making its way through the other place, is a four-page Bill, which does not increase the confidence of Opposition Members that this pledge is realistic. The most obvious concerns—I will not rehearse them all this morning—are that the extension is inadequately funded; that the Government have yet to outline their plans for increasing the number of childcare places to meet any increase in demand; and that we have had no indication that any additional support will be made available for single parents who will be expected to be available for work as a result of measures in this Bill. It seems telling to us that when we put forward an amendment saying effectively that no parent should be forced to work unless adequate childcare is in place, Government Members felt it necessary to vote against such a reasonable amendment. That group of people will be hit particularly hard by the regressive four-year freeze on working-age benefits and tax credit, which clauses 9 and 10 provide for. I remind the Committee that single parents make up 56% of families receiving both working tax credit and child tax credit. If the extension of free hours is inadequately funded—I would welcome any evidence to the contrary—it is inevitable that the out-of-pocket costs parents are forced to pay will increase as sharply in the next five years as they have in the past five years. Freezing the level of working tax credit, under which working parents can claim reimbursement for up to 70% of their childcare costs, is particularly counterintuitive if the aim is to make work pay, as the Government continue to insist it is. If we assume that childcare costs will rise at the usual pace over the four years during which the payments are frozen, the amount that working parents will be able to claim for support with childcare costs will fund fewer and fewer hours each year. In those circumstances, the only option for many parents will be to cut back on the hours they work, which would seem to be at odds with the underlying principle of the so-called Welfare Reform and Work Bill. Parents who take such a step, which the Bill as it stands would make an entirely logical choice, will leave themselves open to harsh penalties under the sanctions regime if they find themselves unable to work altogether. New clause 8, which would require the Secretary of State to undertake an annual review of the childcare element of working tax credit, would not require that the sums involved necessarily be increased, but would simply acknowledge that a four-year freeze in all benefits and tax credits is an extreme measure that will tie the Government’s hands in all circumstances. Economic growth may, for example, significantly exceed expectations over the next four years—that seems unlikely, but it is possible. Were that to happen, the freeze might prove unnecessary and more extreme in its effects, widening the gulf between the incomes of low-income families and the costs they are expected to cover. It might also be the case—this seems somewhat more likely—that the promised extension of free childcare will not materialise according to the Government’s plans. In that scenario, significant costs will continue to fall to parents, whether they are working or looking for work.   I would like to think that, in such circumstances, the Secretary of State would be open-minded enough to admit that tax credit payments specifically earmarked to cover working parents’ childcare costs might need to increase at a level that was adequate to ensure that those costs remained affordable. If the intention behind the Bill is, as the Government say, to give people an incentive to work and to ensure that work always pays, more flexibility is surely called for.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"I have been sitting here processing what the Minister has said, and I believe that she told the Committee at the outset of her speech that the Government have kept the cost of childcare continually under review. If that is right, there is not a huge gap between us. Given the alarm that is spreading across the country over cuts in benefits and whether working families will be able to make ends meet, would it be a good idea to give a commitment today that the review will happen annually? We would not need to discuss the matter any further.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"This was largely a probing new clause, and I am grateful to the Minister for her response. I beg to ask leave to withdraw the motion. Clause, by leave, withdrawn. New Clause 10 Changes to age of eligible claimants of housing benefit ‘(1) The Social Security Contributions and Benefits Act 1992 is amended as follows. (2) After section 130(1) insert— “(1A) The Secretary of State shall not make provision about eligibility for housing benefit in respect of the age of a claimant except by primary legislation.”.’— (Hannah Bardell.) This New Clause aims to ensure that any changes to the age of eligible claimants for housing benefit must be made by primary legislation rather than regulation. The Government intends to withdraw entitlement to housing benefit from 18-21 year olds and it is understood this change would be enacted by regulation. Brought up, and read the First time.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"Does the hon. Lady agree with me that it is very important to look closely at what the Government say counts as vulnerable? One can imagine them saying that they are going to look after vulnerable youngsters, but their definition will be restricted. For example, they may include young people leaving care but not anyone else. We need to be careful, because Opposition Members’ definition of vulnerability may be different from what Ministers are trying to get  away with.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,She means it!,Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"I beg to move, That the clause be read a Second time. The new clause gives hon. Members the opportunity to put the Government out of their misery and abolish the changes they believe they wish to make on tax credits. The Government claim that they have a mandate to impose massive cuts to tax credits, which will blow a hole in working families’ budgets in a few months’ time, but they have no such mandate. The Conservative party went into an election this year with a vague aspiration to reduce welfare spending by an abstract figure of £12 billion which, because of an almost complete lack of specifics, almost no one took seriously. Of course, the Prime Minister made clear that he was not going to touch tax credits, so he has broken his promise to the people. Those people will not forget. The cuts to tax credits that the Government recently introduced undermine one of the bedrock principles of welfare reform, which we thought was shared by all the parties, which is that hard work should be rewarded. Indeed, when Gordon Brown introduced the new rules and payments, he did it so discreetly that many people probably did not even know that it was a politician that had made the decision. He discreetly redistributed income, he discreetly made it right that work should pay and that, instead of the taxman taking taxes away, the taxman would give people money in their pay packet in order to make sure that they could work, hold their heads up high and support their families. I remember speaking on the doorsteps about tax credits to many people who asked the classic question, “What did Labour ever do for me?” I would explain about tax credits and they simply thought that it was something to which they were entitled. Now they will realise that it was a political decision. When they get their letter at Christmas from the Chancellor telling them that they will be losing £1,000 or £2,000, what a happy Christmas it will be  for these poor families. The letter will be care of this Government, who were not elected with a mandate to do that. The view that hard work should be rewarded was shared by all parties. Between them, the 11 Conservative members of the Committee represent 40,000 working families with children who will be hit by the cuts. Some 4,000 working families with children will be affected in Louth and Horncastle; 3,900 working families with children will be affected in Bury St Edmunds; 4,300 working families with children will be affected in North Devon; 2,500 working families with children will be affected in East Hampshire; 4,700 working families with children will be affected in Cannock Chase; 2,600 working families with children will be affected in Hexham; 2,700 working families with children will be affected in Witham; 3,500 working families with children will be affected in Sutton and Cheam; 3,100 working families with children will be affected in Elmet and Rothwell; 5,700 working families with children will be affected in North West Cambridgeshire; and 3,000 working families with children will be affected in Faversham and Mid Kent. That is a large number of families and a large number of constituents. I ask those Members to consider that very seriously when deciding what to do this morning. The impact will be immediate. There will be no transitional measures—the funding simply stops. As I said, families will find out over Christmas that they will suddenly lose more than £2,000 a year. We are talking   about families for whom that amount of money can make the difference between keeping their head above water and not. Conservative as well as Opposition members of the Committee will find desperate families coming to see them, probably not even appreciating that they have been on what the Tories call “welfare”. They have been dependent on the state in order to ensure that their work pays. Indeed, some may even have been tempted to vote Conservative on the basis that it was a good idea for the welfare bill to be cut, not realising that they would be affected, and thinking that it would affect some other family that they know nothing about, a long way away or down at the bottom of a council estate, that they would never come across. They believe they are doing the right thing, doing what the Government expect, what their morality expects them to do and yet, nevertheless, they will be penalised. It will be down to them to help pay off the deficit and the debt caused by bankers and the international financial crisis at a time when the Government believe that their priority ought to be cutting taxes paid by the richest in order to allow them to pass on their riches to the next generation. The Government have changed the tax rates in order to give tax breaks to the richest, and they have decided that the people who should be penalised are those who can hardly fight for themselves, and who are doing their best for themselves and their families.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"My hon. Friend makes a powerful point. There are many arguments against the tax credit cuts, and although it is tempting to rehearse all of them this morning, another debate is going on elsewhere. Essentially, I cut down a long speech to a short one to make the main points. I was talking about the policy being a failure in moral terms, as my hon. Friend illustrates well. The focus today might be down in the Chamber, but members of this Committee have the real power. They have in our hands the power to do the right thing and to put the interests of working families in their constituencies ahead of the interests of their party. They have in their hands the power to put the interests of children in some of the poorest working families first, remembering that, even as things stand, two thirds of children in poverty have a parent in work. How much worse will it be after they have suffered the cuts to tax credits? I am sure that Conservative Members who have an interest in this field are, deep down, genuinely and gravely concerned. When we put the new clause to the   vote and when their Whip holds up the piece of paper saying no, will they look aside, think about the thousands of their constituents who will be so greatly affected by the Bill and vote with their conscience, vote the right way, and stop this now?",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"With great respect, the right hon. Lady is talking nonsense. Of course we support wages going up by whatever means that can be done. What we do not support is the ridiculous associated rhetoric suggesting that the proposals are somehow taking over or working on the national living wage campaign, which is based on a completely different set of statistics. It is typical of the Conservative party to try to confuse people and confabulate as it is doing. Of course we support increases in wages.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"We will not withdraw the new clause, Mr Streeter. Question put,  That the clause be read a Second time.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"I beg to move, That the clause be read a Second time. The new clause is about having a review of the application of sanctions. Many shadows have fallen upon our discussions over the past few weeks. This particular shadow is whether there is a link between welfare reform and work. What happens to people who do not live up to the requirements imposed on them? Too often in recent years the Government’s focus has been on a target-driven approach that has assumed that anyone out of work simply lacks willpower. The cornerstone of that approach has been the sanctions regime. The Committee might remember that the previous Minister for Employment, who lost her seat at the last election, took the view that “people who get sanctions are wilfully rejecting support for no good reason”. The evidence, however, had she or any of her colleagues cared to look, suggests otherwise. As the Minister frequently reminds us, and as I am sure she will remind us again today, it is true that conditions have always been attached to the social safety net since unemployment benefit was first introduced in 1911. Nevertheless, the Government mislead the public when they fail to acknowledge that the sanctions regime introduced as part of the Welfare Reform Act 2012 marked a radical departure from the history of the welfare state and from the entire principle of evidence-based policy making. The official justification of the Department for Work and Pensions for sanctions remains that “they are there to encourage claimants to take reasonable steps to find employment or move closer to the labour market”, but its own impact assessment for the 2012 changes acknowledged that there was insufficient evidence for the proposed approach achieving that. Since then, of course, extensive evidence has emerged that demonstrates that sanctions are deeply counterproductive if helping people into work is really the intention. The number of people claiming jobseeker’s allowance has fallen since 2012, but that has coincided with a significant rise in the number of people whom the Office for National Statistics classes as economically inactive—not unemployed or claiming jobseeker’s allowance, but statistically almost non-people. Interestingly, many of those economically inactive people, if asked why they have become economically inactive, give their reason as being discouraged. So that is their reason—they have been discouraged and so dropped out of the labour market altogether. I would have thought it was important to do some work on what “discouraged” means and on the experiences of those discouraged people, because there might well be a clear link between cause and effect. Research published in January by Oxford’s Professor David Stuckler found that, of those sanctioned between 2011 and 2014 who subsequently stopped claiming benefits altogether, only 20% said that it was because they had found work. According to the professor, all those people were sanctioned and 80% of them then stopped claiming benefits, but not because they had found work. So they are all off the jobseeker’s allowance statistics and are no longer unemployed. In some ways, therefore, perhaps there has been some success. To the extent that increased sanctions have had an identifiable impact at all, it has been to increase dramatically the levels of hardship and poverty in recent years, as illustrated most starkly in the extraordinary rise in food bank use. I do not know how many Members were at the Trussell Trust breakfast this morning, but one of the stories I heard arose because the trust has started to give medical advice at some of its food banks. It was giving medical advice to a nurse who had a condition that meant she needed to take various pills. The nurse in her knew that she had to take the pills regularly, but the mother in her knew that, because their tax credits had been wrongly taken away and they were in great need, she had to give the food in the cupboard to her children. So she was taking the pills without having eaten anything and was causing herself more harm. There are hundreds of thousands of these stories and unfortunately things seem to be getting worse, not better. We understand that last year, a million people took advantage of food banks. One has to wonder what would happen if they were not available. According to the 2014 survey by the Trussell Trust, 83% of food banks said that the new sanctions regime had caused an increase in the number of people needing their help. Another very odd thing about the sanctions regime, which would be addressed if the new clause were accepted, is that different towns and villages have different numbers of people going to food banks and different levels of sanctions. There is one jobcentre where in one month, 40% of people were on sanctions. If there are such extraordinary variations happening within the system, there is clearly unfairness. If individuals within jobcentres are given powers and exercise them with a wide element of discretion, that discretion will clearly be exercised differently in different jobcentres. In some areas there will be more strain on food banks, let alone on the poorest and most vulnerable who continue to be sanctioned.",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"My hon. Friend is right. The range of people going to food banks is very alarming. It is not enough to say, “Oh well, it’s because people know that there are food banks now. They didn’t know about them in the past, but now they do, and they are going in because it’s free and taking a can of beans, but they don’t really need it.” That may be how some Government Members feel that people behave. There is another point of view, which is that to go to a food bank is completely humiliating. It is the worst. I raise my own personal experience again. After my family got thrown out by the men with the bowler hats and went into social housing, I remember my mother used to get boxes of food from friends. It was embarrassing, but it was the way we kept things together; there were no food banks at that point. I remember that one of the food boxes always used to include Campbell’s meatballs. My mother kept them under the stairs and threatened us that if we did not eat what was on our plates, we were going to have to eat the meatballs instead. They may still be under the stairs for all I know. But at least those boxes of food were delivered to our door, instead of my mother having to go out to ask for food. That is humiliating for anybody, for heaven’s sake. What the Government’s sanctions regime has brought us is increased hardship and suffering, with no tangible gains in the likelihood that those affected will move into work as a result. If we could be confident that all this suffering was resulting in something good, that there was meaning and that people were moving into work who would not have moved into work otherwise—can the Conservative party show us some real evidence of that?—that would take some of the edge off the terrible stories that we hear, which show that the sanctions regime is simply unfair. How on earth do people manage if they are living from hand to mouth, have no savings and have exhausted the support they can ask for from their families and friends, but then are sanctioned a third time and given nothing for three months?",Emily Thornberry
Welfare Reform and Work Bill (Eleventh sitting),,2015-10-20 00:00:00,"Might I take advantage of this moment to point out that, when my local law centre takes up appeals on sanctions, it has a 100% success rate?",Emily Thornberry
